下第春愁甚 行心道肯难 |Ref:劳君远见招
八十馀年住镜岩 五热无新作云林 |Ref:鹿皮巾下雪髟髟
伫望应三接 归当旧一分 |Ref:弥留忽几旬
岁岁迷津路 天年入水峰 |Ref:生涯渐可悲
仙宫知不远 只见想相星 |Ref:只近太微星
且此登山复临水 水云飞恨何悠离 |Ref:莫问春风动杨柳
湛湛山川暮 青青野雾秋 |Ref:萧萧凉气稀
颜色却还天上女 山间不解洞王孙 |Ref:馨香留与世间人
潺潺石间溜 馀草何处风 |Ref:汩汩松上驶
时节催年春不住 远来归去老公公 |Ref:武陵花谢忆诸郎
皇家感至道 东客愿光林 |Ref:圣祚自天锡
郦寄卖友 进兵车肩 |Ref:纪信诈帝
同心不可忘 风日上相盖 |Ref:交臂何为失
班扇慵裁素 人台待时违 |Ref:曹衣讵比麻
自郎石城出 独与玉人客 |Ref:长在石城头
宾擒敌国诸戎主 不报长今岂庙夫 |Ref:更遣权兵过在谁
返虚入浑 得期安误 |Ref:积健为雄
妾家住横塘 红纱满桂香 |Ref:夫婿郗家郎
太室三招提 阴中万为醉 |Ref:其趣皆不同
楚人每道张旭奇 心藏风云世莫知 |Ref:心藏风云世莫知
平生醉与吟 不觉有相悠 |Ref:谁是见君心
一饱尚如此 万人安不休 |Ref:况乘大夫轩
吴苑西人去欲稀 荒山山树游云归 |Ref:留连一日空知非
漂沉随坏芥 羽羽道满波 |Ref:荣茂委苍穹
边地遥无极 生天未别回 |Ref:征人去不还
世如阅水应堪叹 松结清霄是人子 |Ref:名是浮云岂足论
此处谁能听 今时独解看 |Ref:遥知独有君
华清恩幸古无伦 风意意长新祝霜 |Ref:犹恐蛾眉不胜人
山童荐珍果 风龟守神辉 |Ref:野老开芳樽
观文心未衰 从与不已歇 |Ref:勿药疾当痊
一酌酹其魂 四口空其源 |Ref:通宵雨不歇
暧暧去尘昏灞岸 飞飞轻盖指河梁 |Ref:飞飞轻盖指河梁
声明畅八表 光度越天空 |Ref:宴喜陶九功
梁间有驯鸽 家里有飞飞 |Ref:不去复何依
今闻扬盛德 周是穆公篇 |Ref:就安我大邦
闲来杖此向何处 得得杉绿空几何 |Ref:过水缘山只访僧
鸣凤始相得 还鸡还见先 |Ref:雄惊雌各飞
蕙风清水殿 松露落花落 |Ref:荷气杂天香
愿君多采撷 尽日几飘牛 |Ref:此物最相思
令申兵气倍 嫁直化心可 |Ref:威憺虏魂亡
闲人暂听犹眉敛 跃旆金薄一室声 |Ref:可使和蕃公主闻
一日不得见 三年空上丘 |Ref:愁肠坐氛氲
莫羡居者闲 虚人在未灭 |Ref:冢边人已耕
欲为圣朝除弊事 试得将用得新看 |Ref:肯将衰朽惜残年
商岭老人自追逐 碧窗云酒一年年 |Ref:蓬丘逸士相逢迎
别馆惊残梦 开舟驻远园 |Ref:停杯泛小觞
面作天地玄 成成神人通 |Ref:鼻有雁门紫
高眠当圣代 清艺别皇穷 |Ref:云鸟未为孤
从此共君新顶戴 昔他年海自长黄 |Ref:斜风应不等闲吹
平田出郭少 数水下山多 |Ref:盘坂入云长
抚运斯顺人 功功至华皇 |Ref:救焚非逐鹿
苦志慕黄庭 故情投苍苍 |Ref:殷勤求道迹
何忍出此言 我君行栖直 |Ref:此言伤老客
纶綍有成命 四庐有化生 |Ref:旌麾不可攀
车马朝初下 孤歌夜渐开 |Ref:看山忆独寻
才大今诗伯 已目如法才 |Ref:家贫苦宦卑
千嶂雪消溪影渌 五峰松阔梦梦秋 |Ref:几家梅绽海波清
先是琴边起 须闻剑上谁 |Ref:知为阁务繁
有时断续听不了 敢言飞计到如方 |Ref:飞去花枝犹袅袅
钓竿垂北涧 香竹下人非 |Ref:樵唱入南轩
淮南秋雨夜 兴北夜秋来 |Ref:高斋闻雁来
为问前时金马客 独声中处玉阳东 |Ref:此焉还作少微星
直愁斜日落 直有遥烟深 |Ref:不畏酒尊虚
还期如可访 攀愧懒烟群 |Ref:台岭荫长松
斗鸡台边花照尘 春烟醉醉柳人行 |Ref:炀帝陵下水含春
圣主重兵权 嘉臣出贼闱 |Ref:分符属大贤
风催晓雁看看别 醉听寒云泪泪愁 |Ref:雨胁秋蝇渐渐痴
借问谁家妇 何君为帝茔 |Ref:歌泣何凄切
都护凌晨出 花花入上行 |Ref:铭功瘗死尸
栗径穿蕃冢 花来死水人 |Ref:狼声隔远烟
稻粱求未足 溪木在相成 |Ref:薏苡谤何频
功夫两衙尽 寒向天月新 |Ref:留滞七年馀
谁为须张烛 何会莫掩香 |Ref:凉空有望舒
柳吟秦望咫尺地 不使频人不未迟 |Ref:鲤鱼何处闲裴回
劝君金屈卮 未睹身无最 |Ref:满酌不须辞
华实从兹始 太夕望秋根 |Ref:何嗟岁序殚
忽睹云间数雁回 病舟松里愁愁望 |Ref:更逢山上正花开
研冰濡谏笔 知日一成干 |Ref:赋雪拥朝袍
玉蕊一枪称绝品 河衣词世得闲池 |Ref:僧家造法极功夫
海水非不广 何人是更然 |Ref:邓林岂无枝
昔贤怀一饭 常我因大年 |Ref:兹事已千秋
仙峤倍分元化功 草陵分似转朝里 |Ref:揉蓝翠色一重重
鬓入新年白 人逢旧日贫 |Ref:颜无旧日丹
远水沉西日 穷舟泣北时 |Ref:寒沙聚夜鸥
到头落地死 不叹有天生 |Ref:踏地为游遨
抚稚再三嘱 今君即可劳 |Ref:泪珠千万垂
名在相公幕 骑阳遂我处 |Ref:丘山恩未酬
猜忌相翦灭 孤云云水日 |Ref:尔来迷恩亲
轮如壮士斧斫坏 绝叶可为两崖土 |Ref:桂似雪山风拉摧
遥瞻丹凤阙 直视白龙行 |Ref:斜望黑龙津
三千士里文章伯 两两朝中礼姓文 |Ref:四十年来锦绣衣
寒暑已推斥 秋无不得空 |Ref:别离生苦辛
相思非是远 入子是书空 |Ref:风雨遣情多
但见扑水花 纷纷春知数 |Ref:纷纷不知数
况当圣明主 可得欢和波 |Ref:岂乏证玉臣
有身有离别 何我无清回 |Ref:无地无岐路
肃礼恭禋载展 翘襟邈志逾殷 |Ref:翘襟邈志逾殷
澹泊随高下 奇回见远归 |Ref:波澜逐卷舒
安得不死药 化然生行鱼 |Ref:高飞向蓬瀛
二三月时何草绿 今二春夜开花开 |Ref:几百年来空月明
不知樵客意 不谓钓人家 |Ref:何事武陵谿
奉乞桃栽一百根 金楼用立学重文 |Ref:春前为送浣花村
不随云色暗 更带日声春 |Ref:只待日光明
独想道衡诗思苦 可当人去不不多 |Ref:离家恨得二年中
国门税征驾 旅食谋归旋 |Ref:旅食谋归旋
野水翻红藕 江丝落绿蘋 |Ref:沧江老白禽
馆宿风雨滞 帆望月山稀 |Ref:始晴行盖转
哀乐暗成疾 烦诗明客兴 |Ref:卧中芳月移
从来敦棣萼 无肯是王人 |Ref:今此茂荆枝
望赊殊易断 朝羽即堪留 |Ref:恨久欲难收
玉轮今日动 云阁出人开 |Ref:不是画云车
吾兄吾兄须爱惜 强君才不须得能 |Ref:将来慎勿虚抛掷
绮皓清风千古在 因君一为谢岩居 |Ref:因君一为谢岩居
物外花尝满 愁中景亦长 |Ref:人间叶自凋
玉帛殊方至 星中照广公 |Ref:歌钟比屋闻
闭户不曾出 自人不复栖 |Ref:诗名满世间
利物功难并 他人步不分 |Ref:和光道已成
今年社日分馀肉 白叟山鱼举已眉 |Ref:不值陈平又不均
冬温蚊蚋在 夏病火人多 |Ref:人远凫鸭乱
藓生天竺屐 槐古海江松 |Ref:烟外洞庭帆
王国称多士 诗人不大门 |Ref:贤良复几人
方同沃洲去 不作武陵迷 |Ref:不作武陵迷
人言齿之豁 碎面手难易 |Ref:左右惊谛视
回雪舞凉殿 甘月洗空绿 |Ref:甘露洗空绿
青门望离袂 白水君沾颜 |Ref:魂为阿连销
定知不及红儿貌 却就年年落五新 |Ref:枉却工夫溉玉田
负剑空叹息 散书不伤官 |Ref:苍茫登古城
分向空山老 心然泪海干 |Ref:何言上苑来
四体苟不勤 生土无止知 |Ref:安得丰菽粟
水天朔方色 山地长一辉 |Ref:暖日嵩根花
畎亩人无惰 田庐岁不空 |Ref:田庐岁不空
日晚严城鼓 期彩上山盘 |Ref:风来萧寺铎
千竿竹翠数莲红 一日人人是此心 |Ref:水阁虚凉玉簟空
何为跧似鼠 不动怯于<unk> |Ref:而复怯于獐
云山无断绝 水夜有愁流 |Ref:秋思日纷纷
相约相期何太深 十前游门八上空 |Ref:棹歌摇艇月中寻
上帝配食 单于无臣 |Ref:单于入臣
到日应文会 连时变物流 |Ref:风流胜阮家
积雨向春阴 开花满清林 |Ref:冥冥独院深
驱去驱来长信风 孤行出上日眉眉 |Ref:暂托栋梁何用喜
少年不远仕 四口又虚无 |Ref:秉笏东西京
大姬配胡公 新子振山宫 |Ref:位乃三恪宾
南光走冷圭 北籁号清木 |Ref:北籁号空木
众仙仰灵范 神乐道神心 |Ref:肃驾朝神宗
近来疏懒甚 先急少丛无 |Ref:诗债后吟身
归船不见见寒烟 枕里钟波有远天 |Ref:离心远水共悠然
且酌松醪依旧醉 又临池月经芳香 |Ref:谁能相见向春愁
地广身难束 天深气可归 |Ref:时平道独穷
桃花潭水深千尺 石上门须老二枝 |Ref:不及汪伦送我情
暑衣清净鸳鸯喜 作浪舞花惊不起 |Ref:作浪舞花惊不起
昔虽居近密 世日世多稀 |Ref:终日多忧惕
迸笋侵窗长 繁梢绕树坚 |Ref:惊蝉出树飞
两叶翠娥春乍展 时迎青月见初明 |Ref:一毛须去不难吹
数见铭钟鼎 人如有鸟水 |Ref:真宜法斗魁
醉夜眠江月 闲雨过枕僧 |Ref:闲时逐海云
松高半岩雪 幽处未径冰 |Ref:竹覆一溪冰
后有开阖堂 耀地来鱼席 |Ref:寒温变天时
善道居贫贱 所知无得身 |Ref:洁服蒙尘埃
輶车花拥路 卧药阶郊春 |Ref:宝剑雪生光
饫沃膻芗 百方花足 |Ref:产祥降嘏
一片月出海 三回云上山 |Ref:几家人上楼
我身蹈丘轲 此世亦为索 |Ref:爵位不早绾
经书括根本 灭不相悬符 |Ref:史书阅兴亡
大火南星月 孤星北月舒 |Ref:长郊北路难
八蛮治险阻 吾客心去寻 |Ref:千骑蹋繁霜
竟天多雁过 长日有羊倾 |Ref:通夕少人眠
久作妖星虚费日 一为江海白无功 |Ref:终□天洞亦何人
荆州本自重弥天 此安长人足更然 |Ref:南朝塔庙犹依然
岂学屈大夫 为事无所贵 |Ref:忧惭对渔叟
翠色凛空庭 静风闻天客 |Ref:披衣独绕行
今我讽遗文 何人不所然 |Ref:思人至其乡
一别十馀载 三年十未游 |Ref:见竹未曾忘
主文有崔李 水微却张真 |Ref:郁郁为朝德
千妖万态逞妍姿 更恐如枝入汉血 |Ref:破国亡家更是谁
本自求彭泽 危归想武贤 |Ref:谁云道里赊
默书绛符遍 过路红日愁 |Ref:晦步斗文成
碧油红旆想青衿 委出黄君不可服 |Ref:积雪窗前尽日吟
冯公尚戢翼 向子已岩林 |Ref:元子仍跼步
执热沉沉在 遭中到残疑 |Ref:凌寒往往须
红蛮杆拨贴胸前 不尽饮之不上天 |Ref:移坐当头近御筵
昔岁俱充赋 当时共戴守 |Ref:同年遇有司
如求神仙药 岂得不与携 |Ref:阶下亦种黍
谢公遗咏处 池水夹天津 |Ref:池水夹通津
隋家两岸尽 陶宅一株平 |Ref:陶宅五株荣
鹏飞俱望昔 同在并谣宛 |Ref:蠖屈共悲今
越王巧破夫差国 西海西施自下愁 |Ref:来献黄金重雕刻
休问蒙庄材不材 从行一国路在中 |Ref:孤灯影共傍寒灰
燕静衔泥起 花鸣向春扉 |Ref:蜂喧抱蕊回
俸钱四五万 兼得不平悲 |Ref:月可奉晨昏
结茅幽寂近禅林 心言闲清自自重 |Ref:霁景烟光著柳阴
始闻呈瑞石 乃见不花山 |Ref:又报产灵芝
晚坐松檐下 寒吟月上眠 |Ref:宵眠竹阁间
白浪漫漫去不回 边水无沄无心心 |Ref:浮云飞尽日西颓
澄彻天为底 散喧石上长 |Ref:渊玄月作心
霁云无处所 台馆晓苍苍 |Ref:台馆晓苍苍
脱略磻溪钓 飞思长暑因 |Ref:操持郢匠斤
恭承共理诏 为岁之中寒 |Ref:恒惧坠诸地
客意念留滞 归心任自思 |Ref:川途忽阻艰
汉垒三秋静 胡山九月开 |Ref:胡沙万里空
日夜秉笔吟 谁如从相斗 |Ref:心苦力亦勤
塞上蕃僧老 关中生国长 |Ref:天寒疾上关
更深人悄悄 唯节月中流 |Ref:晨会雨濛濛
归来授衣假 离吏挽相便 |Ref:莫使故园芜
李郭应时望 朱家复满疏 |Ref:王杨入幕频
步步入山门 回行出涧溪 |Ref:仙家鸟径分
记取丹山凤 谁来百岸中 |Ref:今为百鸟尊
独此三休上 愁心一自人 |Ref:还伤千岁心
雁归不见报郎归 客起空山过月飞 |Ref:织成锦字封过与
舒君郁郁怀 高我复明明 |Ref:饮彼白玉卮
雕虫意何取 丹鸟不相悠 |Ref:瞻恋不知回
草平连邑动 剑化及城迟 |Ref:河满逐江流
野客碧云魂易断 春风红草下还空 |Ref:故人芳草梦难寻
九霄偏眷顾 四阁已飘辉 |Ref:三事早提携
忆共庭兰倚砌栽 翠生花雪满空<unk> |Ref:柔条轻吹独依隈
关城树色催寒近 雨雨潮声向梦潮 |Ref:御苑砧声向晚多
白塔收真骨 闲人出本归 |Ref:青山闭影堂
归云已落涪江外 此路初条处倚前 |Ref:还雁应过洛水瀍
雨馀滋润在 千古贵平宫 |Ref:风不起尘沙
薄暮来投宿 故人自一人 |Ref:数朝不肯东
穿廊玉涧喷红旭 五峰金岭红白好 |Ref:踊塔金轮拆翠微
天目连天搏秀气 百地抱醉别<unk>音 |Ref:峥嵘作起新城地
雁叫嫌冰合 军时爱水涛 |Ref:骢嘶喜雪繁
形影暗相问 相声空不别 |Ref:心默对以言
江南江北愁望 月白岭流梦看 |Ref:相思相忆空吟
天意知如此 何情不可名 |Ref:星言归洛师
峻节高转露 清顾远见车 |Ref:贞筠寒更佳
塞门春已暖 山树日空清 |Ref:连影起蘋风
畏人颜惨澹 恨我路寒空 |Ref:疏物势迍邅
镜里只应谙素貌 鬓间方与见经仙 |Ref:人间多自信红妆
拟占名场第一科 真深官眼眼前攀 |Ref:龙门十上困风波
焚香兼御史 自食在高明 |Ref:悬镜委中丞
寒亦不忧雪 饥亦不食人 |Ref:饥亦不食人
焉能同泛滟 倚夕北为谁 |Ref:极目波上凫
灞原风雨定 花国暮风空 |Ref:晚见雁行频
下方一回首 上色三清碧 |Ref:烟露日苍苍
仆人理车骑 今往起我安 |Ref:西出金光逵
丁固梦时还有意 <unk>轻身为在无芳 |Ref:秦王封日岂无心
万户沈沈碧树圆 一枝犹落有春群 |Ref:云飞雨散知何处
不知下土兵难戢 见道功王见亦长 |Ref:但报明时向国人
山无俗路藏高士 肯有春山闭称难 |Ref:岸泊仙舟忆主人
便随羽客归三岛 月是天人过一峰 |Ref:旋听霓裳适九天
君王若看貌 甘在众妃中 |Ref:甘在众妃中
日长昼加餐 天知早嫌识 |Ref:夜短朝馀睡
自知酒病衰肠怯 故久心愁不眼经 |Ref:遥怕春残百鸟凌
千里碧云闻塞雁 青城秋雨入城鸡 |Ref:几程青草见巴陵
送夏迎秋几醉来 雪冷逐暮但谁钓 |Ref:不堪行色被蝉催
江阔浮高栋 恩高望上梅 |Ref:云长出断山
愚臣忝书赋 剑月陪承侯 |Ref:歌咏颂丝桐
颓阳落何处 一雨随相极 |Ref:升魄衔疏岭
更见峰西幽客说 青头流雨未无归 |Ref:云中犹有两三家
邴原虽不无端醉 谁至曾阳瑶玉岁 |Ref:也爱临风从鹿车
翩翩平肩舆 望望望河县 |Ref:中有醉老夫
细雨荷锄立 归是落色低 |Ref:江猿吟翠屏
团团山中月 夜落水下雕 |Ref:三五离夕同
贾氏窥帘韩掾少 斜衣书卧见山城 |Ref:宓妃留枕魏王才
莫如书故字难久 手眼花长不可攀 |Ref:愿学同心长可同
恐要蕃中新道路 为长河化老奇天 |Ref:指挥重画五城图
饮酒或垂钓 折棋或起君 |Ref:狂歌兼咏诗
将何佐明主 名咏属故人 |Ref:甘老在岩松
萍枯黏朽槛 萝日倚离篁 |Ref:沙浅露沉舟
强歌强舞竟难胜 花落花开泪满缯 |Ref:花落花开泪满膺
少逢人到户 共见独行行 |Ref:时有燕衔泥
高名称谪仙 半少真相间 |Ref:升降曾莫停
如何幽并儿 偶与穷相子 |Ref:一箭取功勋
且留连夜向 长去入朝经 |Ref:未敢满炉烧
岧峣倚角窗 相寥孤宫孤 |Ref:王屋悬清思
纵使刘君魂魄在 听君应寄管南西 |Ref:也应至死不同游
起登西原望 始见东阳忧 |Ref:怀抱同一豁
湘水泠泠彻底清 黄门千邸梦中霜 |Ref:二妃怨处无限情
野鼠独偷高树果 春行多护避衣衣 |Ref:前山渐见短禾苗
玉窗朝日映 罗帐春风吹 |Ref:罗帐春风吹
是非吾欲默 空事必之尘 |Ref:此道今岂存
静向懒相偶 何时衰见并 |Ref:年将衰共催
可使营吾居 长在无几期 |Ref:终焉托长啸
春风正可怜 何别有无怜 |Ref:吹映绿窗前
寸寸凌霜长劲条 争轻片霜落天月 |Ref:路人犹笑未干霄
词臣更有中兴颂 一思相有管成风 |Ref:磨取莲峰便作碑
餐松双鬓嫩 青桂数薪荣 |Ref:绝粒四支轻
一旦不辞诀 风昏无涕河 |Ref:摄身凌苍霞
四牡驱驰千里馀 二邻失北城水起 |Ref:越山稠叠海林疏
野彴度春水 溪槎逐暮行 |Ref:山花映岩扉
何须觅陶令 作作作相迫 |Ref:乘醉自横琴
饵药将斋折 丹心与玉空 |Ref:唯诗与道亲
北垞湖水北 西入湖湖东 |Ref:杂树映朱阑
使君虽老颇多思 有去少须不闲见 |Ref:携觞领妓处处行
守岁阿戎家 弄为新氛郎 |Ref:椒盘已颂花
风行常有地 三雪每无天 |Ref:云出本多峰
西来青鸟东飞去 愿寄一云麻麻姑 |Ref:愿寄一书谢麻姑
沧海上 白云中 |Ref:白云间
寄言同病者 无此不天来 |Ref:回叹且为歌
卞和未雪荆山耻 不与长寒汉庭鸣 |Ref:庄舄空伤越国情
孤城一柱观 几望五云寻 |Ref:落日九江流
战地骸骨满 如裘气兴成 |Ref:长时风雨腥
至道归淳朴 所言亦在诚 |Ref:明珠被弃捐
三衣如两翼 一不将人丸 |Ref:珍重汝寒鸦
八族未来谁北拱 四凶犹在莫南巡 |Ref:四凶犹在莫南巡
霞庄列宝卫 帝景成金盘 |Ref:云集动和声
早晚相酬身事了 得君何去瀑云涯 |Ref:水边归去一闲人
性命双修玄又玄 时交初代不如白 |Ref:海底洪波驾法船
不辞便学山公醉 不到应无竹子知 |Ref:花下无人作主人
仙境日月外 鹤事云不论 |Ref:帝乡烟雾中
萧相深诚奉至尊 中山远自道罗情 |Ref:旧居求作奉诚园
森然瞻武库 峰阁集灵章 |Ref:则是弄儒翰
日暮飞鸟还 云来落花绝 |Ref:行人去不息
突兀临荒渡 婆娑出旧营 |Ref:婆娑出旧营
静还林石下 闲与夜声听 |Ref:坐读养生篇
春水无风无浪 春天有雨有晴 |Ref:春来半雨半晴
开筵试歌舞 后路懒丝雀 |Ref:别宅宠妖娴
巴字江流一棹回 白帆山棹两春云 |Ref:紫袈裟是禁中裁
蓟北连极塞 城南已思重 |Ref:塞色昼冥冥
莫向尊前惜沈醉 一发归归有何贫 |Ref:与君俱是异乡人
忤下考功第 无居升地市 |Ref:独辞京尹堂
馀霞张锦幛 待草拾丝羁 |Ref:轻电闪红绡
飙御有声时杳杳 爵交高露露攸前 |Ref:宝衣无影自珊珊
莎径晚烟凝竹坞 像庭秋月休风空 |Ref:石池春色染苔衣
各是病来俱未了 别头春后有空移 |Ref:莫将烦恼问汤休
感此时物变 只为鸣人开 |Ref:悠然遐想通
古今不相待 不夜事时留 |Ref:朝市无常居
光华扬盛矣 瑶彩变长尘 |Ref:霄汉在兹乎
朱门虽足悦 老乐已相绝 |Ref:赤族亦可伤
有时南国和霜立 月下西人共雪行 |Ref:几处东篱伴月斜
揉蓝绿色曲尘开 吟血一残胜入云 |Ref:静见三星入坐来
旧亭红粉阁 新入青云台 |Ref:宿处白云关
身轻心无系 花自往无知 |Ref:忽欲凌空飞
鹤发他乡老 人云此外归 |Ref:渔歌故国闻
唯有渭川流不尽 不无周在入云空 |Ref:至今犹绕望夷宫
企予悲送远 趋曲想南州 |Ref:惆怅睢阳路
飘萧过云雨 飞落落水中 |Ref:摇曳归飞翼
云门老僧定未起 日流残凤开不行 |Ref:白阁道士遥相迎
约川星罕驻 南日日常难 |Ref:扶道日旂舒
寂寂花枝里 悠行无处同 |Ref:草堂唯素琴
江湖与城阙 怅望随可归 |Ref:异迹且殊伦
况我愚朴姿 为君非其精 |Ref:强趋利名场
雁在弓前落 人应风雨悲 |Ref:云从阵后浮
经勘松风燥 半移四过大 |Ref:檐垂坞茗香
闲花半落犹迷蝶 岸水高芳已动莺 |Ref:白鸟双飞不避人
日暮江边一小儒 劝欣来去留公旌 |Ref:空怜未有白髭须
蚕市初开处处春 女人不熟见淹亲 |Ref:九衢明艳起香尘
阴山苦雾埋高垒 日发边泉过小门 |Ref:交河孤月照连营
野客嫌知印 江师不觉迟 |Ref:家人笑买琴
就养思儿戏 防风任客惜 |Ref:延年爱鸟伸
兴酣鸲鹆舞 免脱鹔可狂 |Ref:言洽凤凰翔
柳阴春岭鸟新啼 檐色东林花未发 |Ref:暖色浓烟深处迷
别殿和云锁翠微 黄梨宫地雨深声 |Ref:太真遗像梦依依
江南万里寒 江带五人春 |Ref:曾未及如此
我愿生两翅 然结生孤枝 |Ref:捕逐出八荒
高第由佳句 多知道清词 |Ref:诸生似者稀
月始云中出 人生天上起 |Ref:花犹雾里藏
调丝竞短歌 闲容日相丰 |Ref:拂枕怜长夜
太常犹旧宠 高作不新衣 |Ref:光禄是新隮
晚出芙蓉阙 寒明春南别 |Ref:春归棠棣华
垂休临有道 时盖下无边 |Ref:作瑞掩前经
凫舟才结缆 旧业共成望 |Ref:驺驾已相迎
牧童斯在眼 猎恶如中心 |Ref:田父实为邻
仙松添瘦碧 时见入中红 |Ref:天骥减丰膘
降鹤池前回步辇 与与中人卷生船 |Ref:栖鸾树杪出行宫
红兰白蘋渚 绿草青芳洲 |Ref:春暖刷毛衣
前门长揖后门关 正望出犬土无何 |Ref:今日结交明日改
高堂舞榭锁管弦 美人遥望西南天 |Ref:美人遥望西南天
百川日东流 孤山日满舟 |Ref:客去亦不息
何处最伤心 关山春秋月 |Ref:关山见秋月
有美一人兮婉如清扬 缄枝水水兮盘水水云 |Ref:识曲别音兮令姿煌煌
莫叹官资屈 含年道胜盛 |Ref:宁论活计贫
翩翩幕下来 去骑骑城亲 |Ref:拜赐甘泉宫
我闻声价金应敌 愁客声和玉不时 |Ref:众道风姿玉不如
相呼野饭依芳草 共问林吟见水斜 |Ref:迭和山歌逗远林
龙竹裁轻策 青芝出旧路 |Ref:鲛绡熨下裳
泥情斜拂印 云气倒开衣 |Ref:别脸小低头
有郁者桂 颓言高人 |Ref:爰攀其枝
宫徵谐鸣石 已若自所寻 |Ref:光辉掩烛银
桂棹兰桡下长浦 楚城烟下恣钓溪 |Ref:罗裙玉腕摇轻橹
归来把通籍 骑事重重林 |Ref:且作高堂寿
人情疑始变 来事似初流 |Ref:天性感还生
未尺数十登 高高不若手 |Ref:心目风浪翻
前鱼不解泣 此日知不知 |Ref:共辇岂关羞
春来爱有归乡梦 莫向前花客别心 |Ref:一半犹疑梦里行
岭上青松手自栽 遥回白鹤一难来 |Ref:已能苍翠映莓苔
日落川径寒 日闻山谷阔 |Ref:离心苦未安
赖此升攀处 仙轩不可声 |Ref:萧条得所从
山城犹转漏 客邑宿归坊 |Ref:沙浦已摇船
只影翩翩下碧湘 往人孤去长青白 |Ref:傍池鸳鹭宿银塘
三秋病起见新雁 一夜望来看故山 |Ref:八月夜长思旧居
山中无鲁酒 松下饭胡麻 |Ref:松下饭胡麻
长安牡丹开 何虑买如落 |Ref:绣毂辗晴雷
主人若也勤挑拨 舍公才直得一家 |Ref:敢向尊前不尽心
蔼蔼三月天 阴轩十江时 |Ref:闲行亦不恶
归来物外情 安为区中宿 |Ref:负杖阅岩耕
水流天地内 月死入天边 |Ref:如身有血脉
已去汉月远 云来胡诗凋 |Ref:何时筑城还
金烁水银流 玉闪不天过 |Ref:玉煼丹砂焦
声连鳷鹊观 雨指凤凰见 |Ref:色暗凤凰原
此去无停候 平今有别过 |Ref:征人几日回
薄俸虽休入 春时不自宿 |Ref:明霞自足餐
未能即便休官去 岂向三头出离庐 |Ref:惭愧南山采药翁
但有巾挂壁 木力无不光 |Ref:而无客叩关
挥手再三别 安前一十行 |Ref:临岐空断肠
惆怅多山人复稀 白猿犹有有寂萝 |Ref:杜鹃啼处泪沾衣
翻经谢灵运 日日期微虚 |Ref:画壁陆探微
应笑北原上 更山东不泥 |Ref:丘坟乱如蚁
相悲得成长 相爱已无生 |Ref:同是外家恩
乱离子孙尽 天古如玉间 |Ref:地属邻里翁
枝上莺娇不畏人 烛坐花色有山春 |Ref:叶底蛾飞自相乱
巢鹊疑天汉 栖鱼归为为 |Ref:潭花似镜妆
途危紫盖峰 路涩青泥坂 |Ref:路涩青泥坂
更想东南多竹箭 竹花只上有人归 |Ref:悬圃琅玕共葱蒨
盛烈传彝鼎 亲亲奉未民 |Ref:遗文被乐章
景阳楼畔千条露 天望天中见风钟 |Ref:一面新妆待晓钟
灰琯应新律 阴年复春凉 |Ref:铜壶添夜筹
明年郊天后 古府在何人 |Ref:庆泽岁华滋
清貌不识睡 我言唯知发 |Ref:见来尝苦吟
吾为尔先生 孤人得吾改 |Ref:尔为吾弟子
岂唯里巷皆苏息 不吏王家尽不心 |Ref:犹有恩波及钓船
羽翼五佐 比丹四里 |Ref:周流八荒
茫茫重江外 犹有一处思 |Ref:杳杳一枝琼
远扬迩昭 寒肃相钧 |Ref:陟降连连
东堂岁去衔杯懒 传物钟行拥酒知 |Ref:南浦期来落泪频
霓旌队仗下不下 口入车垣城江去 |Ref:松桧森森天露湿
倾都邀节使 一马含风归 |Ref:传酌缓离颜
自媒徒欲速 南路何难惜 |Ref:孤立却宜迟
辇路曾经此 空宫夏足时 |Ref:坛场即宛然
朝野同称叹 安生独可知 |Ref:园绮郁齐名
前朝山水国 今暮故东城 |Ref:旧日风流地
从事不须轻县宰 轻阳不不重如心 |Ref:满身犹带御炉烟
世间泉石本无价 我子诗露亦有空 |Ref:那更天然落景中
鹊惊随叶散 龙逐逐人新 |Ref:萤远入烟流
况于三千章 岁色两遇同 |Ref:哀叩不为神
出门各有道 为亦无无平 |Ref:我道方未夷
楼头风景八九月 凤郎清月清清烟 |Ref:床下水云千万重
不惜中肠苦 而无如泪悲 |Ref:但言会合赊
终依古封建 深往大间知 |Ref:岂独听箫韶
君家诚易知 易知复难同 |Ref:胜绝倾里闾
轻衫细马春年少 山马支鞍絮里长 |Ref:十字津头一字行
享洽四时 明为五数 |Ref:规陈二簋
长空秋雨歇 独往夜风多 |Ref:睡起觉精神
独向阶前立 应知步上门 |Ref:子规啼不歇
日月渝乡思 悠然旧里城 |Ref:烟花换客愁
不是流莺独占春 秦墙春柳见伤年 |Ref:林间彩翠四时新
正月符嘉节 从花有远欢 |Ref:三春玩物华
酒胡五藏属他人 舞中相舞醉君看 |Ref:十分亦是无情劝
知访寒梅过野塘 数寻朱叶到人人 |Ref:久留金勒为回肠
寡妻无子息 狂友馀人归 |Ref:破宅带林泉
坐谋资庙略 无复旧贤孚 |Ref:飞檄伫文雄
宿客嫌吟苦 辞僧喜醉重 |Ref:乖童恨睡迟
胸襟曾贮匡时策 犹似何论说再岑 |Ref:怀袖犹残谏猎书
艰难王业 夭命帝由 |Ref:返正皇唐
