碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
回首天将暝 相思一风起<eos><eos><eos> |Ref:逢僧话未归
白头徒侣渐稀少 不见春山无故人<eos> |Ref:明日恐君无此欢
不探虎穴求身达 不得文章不可知<eos> |Ref:争得人间富贵来
密际西风尽 清风不可寻<eos><eos><eos> |Ref:凝间朔气扶
有时闲客散 无处有山飞<eos><eos><eos> |Ref:始觉细泉流
借问今朝八龙驾 不知三十一年年<eos> |Ref:何如昔日望仙池
澹荡沧洲云 萧盈金箸曲<eos><eos><eos> |Ref:飘飖紫霞想
春潮带雨晚来急 春月落花时未开<eos> |Ref:野渡无人舟自横
秦娥晚凭栏干立 楚水风深入钓矶<eos> |Ref:柔枝坠落青罗襟
四方节度 万物为同<eos><eos><eos><eos> |Ref:整兵顿马
梁苑二年陪众客 汉山千里在皇恩<eos> |Ref:温陵十载佐双旌
岂知登陇远 不见有人知<eos><eos><eos> |Ref:只恨下机迷
灵池月满直城隈 一片红花开前树<eos> |Ref:黻帐天临御路开
时邀咏花女 坐忆白眉翁<eos><eos><eos> |Ref:笑辍春妆镜
忽然竖明堂 不见天地中<eos><eos><eos> |Ref:一挥立能致
远书多隔岁 新笑不知人<eos><eos><eos> |Ref:独念没前程
浮沉任名路 不觉不知人<eos><eos><eos> |Ref:窥仰会无缘
春草明年绿 春风入路寒<eos><eos><eos> |Ref:王孙归不归
轻衫细马春年少 一片金山春夜寒<eos> |Ref:十字津头一字行
宾随落叶散 书向春草开<eos><eos><eos> |Ref:帽逐秋风吹
石像雷霆启 龙龙虎阵明<eos><eos><eos> |Ref:江沙鼎鼐期
自省此身非达者 不知何处是人间<eos> |Ref:今朝羞拜四先生
僧得名难近 人知不可知<eos><eos><eos> |Ref:灯传火已长
父子熙熙 其伦以<unk><eos><eos><eos><eos> |Ref:相宁以嬉
皇天降丰年 不得无所为<eos><eos><eos> |Ref:本忧贫士食
邑有佳主人 不知何所得<eos><eos><eos> |Ref:情如已会面
寒随汾谷尽 暮入楚阳深<eos><eos><eos> |Ref:春逐晋郊来
洲香生杜若 山风吹白云<eos><eos><eos> |Ref:溪暖戏
少在兵马间 不知不为死<eos><eos><eos> |Ref:长还系戎职
阵面奔星破犀象 不知声入上诸侯<eos> |Ref:笔头飞电跃龙蛇
永怀难自问 何处是君王<eos><eos><eos> |Ref:此夕众愁兴
火林散雪 云室无清<eos><eos><eos><eos> |Ref:阳泉凝沍
云和终奏钧天曲 月照犹开玉殿春<eos> |Ref:乍听宝琴遥嗣续
汾川花鸟意 一夜白头来<eos><eos><eos> |Ref:并奉属车尘
唯持青玉牒 不得有天台<eos><eos><eos> |Ref:独立碧鸡峰
太冲无兄 不以为道<eos><eos><eos><eos> |Ref:孝端无弟
帆入汀烟健 帆连野鸟鸣<eos><eos><eos> |Ref:经吟戍月清
风涛匝山寺 风雨生寒树<eos><eos><eos> |Ref:磬韵达渔船
锋芒利如欧冶剑 不能不得神子孙<eos> |Ref:劲直浑是并州铁
焰焰戈霜动 光光夜气深<eos><eos><eos> |Ref:耿耿剑虹浮
梨花千树雪 花树一花春<eos><eos><eos> |Ref:杨叶万条烟
藓榭莎亭萝筱阴 一声空在水中中<eos> |Ref:依稀气象似山林
多雨逢初霁 春风不可寻<eos><eos><eos> |Ref:深秋生夜寒
南风苟不竞 南斗不可知<eos><eos><eos> |Ref:无往遗之擒
白发因愁改 青山不可知<eos><eos><eos> |Ref:丹心托梦回
忆昔深闺里 相逢无限情<eos><eos><eos> |Ref:烟尘不曾识
莫教明月去 不见白头翁<eos><eos><eos> |Ref:留著醉姮娥
深哀当何为 不觉心不知<eos><eos><eos> |Ref:桃李忽凋摧
东山期已定 南海事难忘<eos><eos><eos> |Ref:相许便抽簪
西峰老僧语 一日见山时<eos><eos><eos> |Ref:相劝合何如
故国望不见 此时无所思<eos><eos><eos> |Ref:愁襟难暂开
宗祧是寄 礼乐无时<eos><eos><eos><eos> |Ref:礼乐其亨
慷慨知音在 何人见玉壶<eos><eos><eos> |Ref:谁能泪堕巾
路傍豪家宅 人多家道人<eos><eos><eos> |Ref:楼上红妆满
万事须己运 一年无所如<eos><eos><eos> |Ref:他得非我贤
唯见相如宅 何人不可知<eos><eos><eos> |Ref:蓬门度岁华
我病百日馀 我为一年期<eos><eos><eos> |Ref:肌体顾若刲
松竹渐荒池上色 松花落日月中时<eos> |Ref:琴书徒立世间名
中贵腰鞭立倾酒 一杯花落一年老<eos> |Ref:宰臣委佩观摇笔
懒寻芳草径 闲坐落花间<eos><eos><eos> |Ref:来接侍臣筵
月卿临幕府 风过谢公王<eos><eos><eos> |Ref:星使出词曹
春藻下中天 春风吹水明<eos><eos><eos> |Ref:湛恩阐文明
此欢竟莫遂 不得为我悲<eos><eos><eos> |Ref:狂杀王子猷
若无紫塞烟尘事 不得何由不得来<eos> |Ref:谁识青楼歌舞人
仿佛不离灯影外 清风空映水云中<eos> |Ref:似闻流水到潇湘
蟪蛄宁与雪霜期 不觉人生无子子<eos> |Ref:贤哲难教俗士知
已陈粢盛敷严祀 更得金盘荐紫芝<eos> |Ref:更奏笙镛协雅声
邺城中 天川去<eos><eos><eos><eos><eos> |Ref:暮尘起
渴者不思火 饥者不言<unk><eos><eos><eos> |Ref:寒者不求水
林泉无计消残暑 山水深时似落秋<eos> |Ref:虚向华池费稻粱
少赋令才犹强作 不知何处是无私<eos> |Ref:众医多识不能呼
树杪见觚棱 山前闻见山<eos><eos><eos> |Ref:林端逢赭垩
簴列钟磬 <unk>成网横<eos><eos><eos><eos> |Ref:筵陈脯醢
尔宁要谤讟 不得无所为<eos><eos><eos> |Ref:凭此近荧侮
醉中亦话兴亡事 不得无人不得来<eos> |Ref:云道总无珪组累
火凤声沉多咽绝 金龙日日不相亲<eos> |Ref:春莺啭罢长萧索
立作菌蠢势 静无白浪心<eos><eos><eos> |Ref:煎为潺湲声
忽振金汤 永在皇外<eos><eos><eos><eos> |Ref:下彼巉崒
礼殷其本 礼乐其明<eos><eos><eos><eos> |Ref:乐执其中
上宰无为化 中年不可知<eos><eos><eos> |Ref:明时太古同
天长地久时相忆 不见春风不见春<eos> |Ref:千龄万代一来游
遂令江海客 不见白云人<eos><eos><eos> |Ref:惆怅忆闲田
江花纵可怜 山月不能开<eos><eos><eos> |Ref:奈非心所慕
木槿花开畏日长 松花落影落时香<eos> |Ref:时摇轻扇倚绳床
花经宿雨香难拾 花落春花不可开<eos> |Ref:莺在豪家语更娇
天子龙沉景阳井 玉门清漏如一年<eos> |Ref:谁歌玉树后庭花
奠嘉璧 礼其隆<eos><eos><eos><eos><eos> |Ref:燎芳薪
二月东风来 一声不可知<eos><eos><eos> |Ref:草拆花心开
齐王僚属好男儿 不得人间作酒人<eos> |Ref:偶觅东归便得归
客程江外远 人事水城东<eos><eos><eos> |Ref:归思夜深多
渐到帘幕间 不知人路长<eos><eos><eos> |Ref:裴回意犹惧
未曾得向行人道 不得相逢一夜风<eos> |Ref:不谓离情莫折伊
西狩观周俗 南山接侍公<eos><eos><eos> |Ref:南山历汉宫
不学尧年隐 何由得此心<eos><eos><eos> |Ref:空令傲许由
徒然酌杯酒 不觉不知人<eos><eos><eos> |Ref:不觉散人愁
闲留幢节低春水 静向春风入白云<eos> |Ref:醉拥笙歌出暮烟
久怀声籍甚 不觉老心情<eos><eos><eos> |Ref:千里致双鱼
东出青门路不穷 东风风雨满江城<eos> |Ref:驿楼官树灞陵东
曙色烟中灭 春风云水开<eos><eos><eos> |Ref:潮声日下来
长生如可慕 不得不相识<eos><eos><eos> |Ref:相逐隐林泉
百花休放艳 万里不知春<eos><eos><eos> |Ref:三月始为春
共见前途促 还闻别别多<eos><eos><eos> |Ref:何知后会同
光寒好照金毛鹿 香色无成白玉丝<eos> |Ref:响静堪降白耳龙
中心一以合 不得不可知<eos><eos><eos> |Ref:外事纷无极
是物皆磨灭 无人不为道<eos><eos><eos> |Ref:唯师出死生
锦水通巴峡 金云入楚秦<eos><eos><eos> |Ref:香山对洛河
十驿褒斜到处慵 一家渔艇有东流<eos> |Ref:眼前常似接灵踪
停杯问山简 不得见东山<eos><eos><eos> |Ref:何似习池边
旧户闲花草 新年不见山<eos><eos><eos> |Ref:驯鸽傍檐隙
避暑蝉移树 归来鸟绕林<eos><eos><eos> |Ref:高眠雁过城
珮声犹隔箔 歌态更开屏<eos><eos><eos> |Ref:香气已迎人
东门送客道 一见一年生<eos><eos><eos> |Ref:春色如死灰
挺身艰难际 清情如此日<eos><eos><eos> |Ref:张目视寇雠
缣缃工女竭 丹壁三年无<eos><eos><eos> |Ref:青紫使臣纡
断霞转影侵西壁 落月飞飞入上楼<eos> |Ref:浓麝分香入四邻
日翅闲张锦 风尘入客衣<eos><eos><eos> |Ref:风池去罥罗
珠穿闽国菩提子 玉得金盘出帝王<eos> |Ref:杖把灵峰榔栗枝
君家盛德岂徒然 不得相逢入帝王<eos> |Ref:时人注意在吾贤
明流纡且直 不得为其名<eos><eos><eos> |Ref:绿筱密复深
琴鸣酒乐两相得 不觉不知人不知<eos> |Ref:一杯不啻千钧金
十载独扃扉 一为生大<unk><eos><eos><eos> |Ref:唯为二雅诗
明年四月秦关到 不见东山一片人<eos> |Ref:洗眼扬州看马蹄
空将汉月出宫门 不见天涯入白云<eos> |Ref:忆君清泪如铅水
应笑楚襄仙分薄 不知春暖月明红<eos> |Ref:日中长是独裴回
戍楼西望烟尘黑 江水高声夜雨寒<eos> |Ref:汉兵屯在轮台北
古苔生石静 寒草带云寒<eos><eos><eos> |Ref:秋草满山悲
此时却羡闲人醉 不得春风不见人<eos> |Ref:五马无由入酒家
土鼓与污尊 天涯入清清<eos><eos><eos> |Ref:颐神则为愈
月波荡如水 天涯无可期<eos><eos><eos> |Ref:气爽星朗灭
客程千里远 山里一人深<eos><eos><eos> |Ref:别念一帆悬
忆昔狂童犯顺年 不知天上不知非<eos> |Ref:玉虬闲暇出甘泉
曲栏伏槛金麒麟 天子一门飞凤凰<eos> |Ref:沙苑芳郊连翠茵
关内平田窄 山城一夜来<eos><eos><eos> |Ref:东西截杳冥
长庆二年秋 高来万里游<eos><eos><eos> |Ref:我年五十一
茂挺独先觉 清和清夜变<eos><eos><eos> |Ref:拔身渡京虹
自从乞与羊昙后 不得相逢一一杯<eos> |Ref:赌墅功成更有谁
饱用黄金无所求 不知天地世中多<eos> |Ref:长裾曳地干王侯
芰荷生欲遍 山木冷难开<eos><eos><eos> |Ref:桃李种仍新
茫茫重江外 不见一年春<eos><eos><eos> |Ref:杳杳一枝琼
一浮一沈阳炼阴 一花满门春色冷<eos> |Ref:阴尽方知此理深
披襟欢眺望 回首在何人<eos><eos><eos> |Ref:极目畅春情
响为纤筵发 声成玉箸轻<eos><eos><eos> |Ref:情随彩翰飞
翠柏不凋龙骨瘦 青山无怪石头寒<eos> |Ref:石泉犹在镜光寒
名僧康宝月 不得无所适<eos><eos><eos> |Ref:上客沈休文
贞魂误向崇山没 不得无知一日来<eos> |Ref:冤气疑从湘水回
五陵春暖芳草齐 一杯一曲春风起<eos> |Ref:笙歌到处花成泥
欣然发佳色 不复为清吹<eos><eos><eos> |Ref:如喜东风还
劳鲂莲渚内 蔼蔼松林浅<eos><eos><eos> |Ref:汗马火旂间
借问东邻效西子 不知何处是人间<eos> |Ref:何如郭素拟王轩
石逢罗刹碍 山接栋梁雄<eos><eos><eos> |Ref:山泊敬亭幽
永夜一禅子 不知何处期<eos><eos><eos> |Ref:泠然心境中
烟生柳岸将垂缕 月落云城不见归<eos> |Ref:雪压梅园半是花
郦寄卖友 为文在天<eos><eos><eos><eos> |Ref:纪信诈帝
长安冬欲尽 一日不相逢<eos><eos><eos> |Ref:又送一遗贤
季伦园里 不得不知<eos><eos><eos><eos> |Ref:逸少亭前
出门四顾望 不见青云天<eos><eos><eos> |Ref:此日何徘徊
有钱无钱俱可怜 不得不知人不知<eos> |Ref:百年骤过如流川
虏骑三秋入 胡山千里中<eos><eos><eos> |Ref:关云万里平
云栱承跗逦 风旗红鹊舞<eos><eos><eos> |Ref:羽葆背花重
公来雪山重 人与白云归<eos><eos><eos> |Ref:公去雪山轻
如我如君者 不知不可知<eos><eos><eos> |Ref:不妨身晚成
秋露凝高掌 秋风入水泉<eos><eos><eos> |Ref:朝光上翠微
温温土炉火 不见春风春<eos><eos><eos> |Ref:耿耿纱笼烛
云雨无情难管领 风风不觉不相催<eos> |Ref:任他别嫁楚襄王
牛斗文星落 龙飞落月中<eos><eos><eos> |Ref:知是先生死
桃花飘岫幌 花落旧山清<eos><eos><eos> |Ref:燕子语松关
结庐常占练湖春 不知不见山中月<eos> |Ref:犹寄藜床与幅巾
八蜡已登 万人不得<eos><eos><eos><eos> |Ref:三农息务
千竿竹翠数莲红 一片春风一叶飞<eos> |Ref:水阁虚凉玉簟空
人情疑始变 人意不能长<eos><eos><eos> |Ref:天性感还生
姓被名公题旧里 心无人作不知人<eos> |Ref:诗将丽句号新亭
迟迟前相送 不觉何由归<eos><eos><eos> |Ref:握手嗟异同
手持锦袍覆我身 不得一身无所为<eos> |Ref:我醉横眠枕其股
秋闲杉桂林 夜落松林色<eos><eos><eos> |Ref:春老芝朮丛
颓峰暌酌羽 落壁不成<unk><eos><eos><eos> |Ref:流水旷鸣弦
炉爇旃檀不称贫 一杯风泪满金炉<eos> |Ref:霏霏玉露湿禅巾
石墨一研为凤尾 金教一字出金盘<eos> |Ref:寒泉半勺是龙睛
知君别业长洲外 不得春风不可知<eos> |Ref:欲行秋田循畎浍
前年共游客 今日不相逢<eos><eos><eos> |Ref:刀笔事戎旌
八河注大海 万里无所思<eos><eos><eos> |Ref:中有楞伽船
云中乱拍禄山舞 不得春风不得归<eos> |Ref:风过重峦下笑声
乐道辞荣禄 文章奉至今<eos><eos><eos> |Ref:安居桂水东
卢子尚高节 白云不可知<eos><eos><eos> |Ref:终南卧松雪
男儿何必恋妻子 不知我死无由来<eos> |Ref:莫向江村老却人
一夕高楼月 秋风不可寻<eos><eos><eos> |Ref:万里故园心
铿訇揭调初惊人 不知何处不能成<eos> |Ref:幽咽细声还感神
篱槿花无色 山花色未开<eos><eos><eos> |Ref:阶桐叶有声
影随帘押转 声入管弦深<eos><eos><eos> |Ref:光信簟文流
援少风多力 寒深月似蝉<eos><eos><eos> |Ref:墙高月有痕
羁鸟无定栖 孤云无可见<eos><eos><eos> |Ref:惊蓬在他乡
国门税征驾 天气生与兵<eos><eos><eos> |Ref:旅食谋归旋
玄元皇帝著遗文 一日无人不可知<eos> |Ref:乌角先生仰后尘
欲问淮王信 何人问子孙<eos><eos><eos> |Ref:仙都即帝乡
众嫌我独赏 不觉心不知<eos><eos><eos> |Ref:移植在中庭
入门约百步 不得一一年<eos><eos><eos> |Ref:古木声霎霎
南向翊大君 东山入南岳<eos><eos><eos> |Ref:西宫朝圣母
生离不可诉 何必是天涯<eos><eos><eos> |Ref:上天何曾聪
不作解缨客 不知何处归<eos><eos><eos> |Ref:宁知舍筏喻
永愿亲瓶屦 不知天地发<eos><eos><eos> |Ref:呈功得问疑
既怜伊浦绿 不见云人起<eos><eos><eos> |Ref:复忆灞池春
井识轩辕迹 山开一尺泉<eos><eos><eos> |Ref:坛馀汉武基
白鹤随飞盖 青云入远城<eos><eos><eos> |Ref:朱鹭入鸣笳
寂寞柴门掩 萧条白发春<eos><eos><eos> |Ref:经过柱史荣
坤元至德 天玉无馀<eos><eos><eos><eos> |Ref:品物资生
淙淙三峡水 啾啾上海蒲<eos><eos><eos> |Ref:浩浩万顷陂
微吹递遥泉 清凉落空壁<eos><eos><eos> |Ref:疏松对残月
题诗报我何所云 不得不知君不知<eos> |Ref:苦云色似石榴裙
金弦挥赵瑟 玉殿有文章<eos><eos><eos> |Ref:玉指弄秦筝
阆苑驾将雕羽去 一年年后一花人<eos> |Ref:洞天赢得绿毛生
五星含土德 万里出城城<eos><eos><eos> |Ref:万姓彻中声
亦不减 不可得<eos><eos><eos><eos><eos> |Ref:亦不增
莫以真留妾 何由知此年<eos><eos><eos> |Ref:从他理管弦
江冲巫峡出 水入楚王开<eos><eos><eos> |Ref:樯过洛宫收
客见天台县 人间不可知<eos><eos><eos> |Ref:闾阎树色间
秦王转无道 不见天上天<eos><eos><eos> |Ref:谏者鼎镬亲
须勤念黎庶 不敢问其津<eos><eos><eos> |Ref:莫苦忆交亲
玉辇游时应不避 金陵日日不无情<eos> |Ref:千廊万屋自相连
兰亭攀叙却 桂牖坐开时<eos><eos><eos> |Ref:会此越中营
我和此诗日 不得不可忘<eos><eos><eos> |Ref:微和春之初
赠言回驭日 为我在天涯<eos><eos><eos> |Ref:图画彼山川
残云归太华 一日无人路<eos><eos><eos> |Ref:疏雨过中条
萧萧风雨夜 不见白云间<eos><eos><eos> |Ref:惊梦复添愁
庭花采菉蓐 林叶含花扇<eos><eos><eos> |Ref:岩石步莓苔
同为万里客 不见一枝枝<eos><eos><eos> |Ref:中路忽离别
梧桐坠露悲先朽 玉管清风吹一起<eos> |Ref:松桂凌霜倚后枯
本自求彭泽 何由入大州<eos><eos><eos> |Ref:谁云道里赊
雕虫羞朗鉴 玉剑入红霞<eos><eos><eos> |Ref:干禄贵明时
水石应容病 山时有物清<eos><eos><eos> |Ref:松篁未听谗
影满衰桐树 声摇落树花<eos><eos><eos> |Ref:香凋晚蕙丛
忽见一人檠茶碗 一声一语千里红<eos> |Ref:篸花昨夜风吹满
兼求富豪且割鲜 不得<unk>龙无其力<eos> |Ref:密沽斗酒谐终宴
官职比君虽校小 人间不得不相亲<eos> |Ref:封疆与我且为邻
堪将乱蕊添云肆 不觉长愁落月明<eos> |Ref:若得千株便雪宫
爱日恩光蒙借贷 不知何处问长安<eos> |Ref:清霜杀气得忧虞
圆光珠入浦 高凤凤连台<eos><eos><eos> |Ref:浮照鹊惊林
猿啼山不断 鸟起雁初归<eos><eos><eos> |Ref:鸢跕路难登
人心但觉闲多少 鹤语无心觉不知<eos> |Ref:马足方知倦往来
数枝翠叶空相对 一片金炉满一枝<eos> |Ref:万片香魂不可招
出祖千夫拥 登临万里归<eos><eos><eos> |Ref:行厨五熟烹
请题在茅栋 不得为樵鼓<eos><eos><eos> |Ref:留坐于石榻
桂水遥相忆 山深水不深<eos><eos><eos> |Ref:花源暗有期
弹琴多去情 对酒一年岁<eos><eos><eos> |Ref:浮楫背潮行
绝顶茅庵老此生 一年无事不相亲<eos> |Ref:寒云孤木伴经行
枕上数声鼓 枕上无春声<eos><eos><eos> |Ref:衡门已如市
此身闲得易为家 不得春风不见人<eos> |Ref:业是吟诗与看花
丽如三五月 不得不相亲<eos><eos><eos> |Ref:可望难亲近
系牒公侯裔 相思白日中<eos><eos><eos> |Ref:悬弧将相儿
择佛烧好香 出门烧画天<eos><eos><eos> |Ref:拣僧归供养
功名生地狱 不得为君为<eos><eos><eos> |Ref:礼教死天囚
出入唯山鸟 行来一路人<eos><eos><eos> |Ref:幽深无世人
误因微禄滞南昌 不得人间不可知<eos> |Ref:幽系圜扉昼夜长
骄鄙既不生 不能不能识<eos><eos><eos> |Ref:惭耻更能弭
吴苑西人去欲稀 玉门春色不堪愁<eos> |Ref:留连一日空知非
花落春莺晚 风风夜雨愁<eos><eos><eos> |Ref:风光夏叶初
南浦老鱼腥古涎 南行归路乱蓬蒿<eos> |Ref:真珠密字芙蓉篇
飞书谕强寇 不觉何由时<eos><eos><eos> |Ref:计日下重城
金缕毵毵碧瓦沟 不知何处是人间<eos> |Ref:六宫眉黛惹春愁
欲见惆怅心 不知春草有<eos><eos><eos> |Ref:又看花上月
固是攀云渐 无人在此城<eos><eos><eos> |Ref:何嗟趋府劳
舟楫去潆回 山水流苍莽<eos><eos><eos> |Ref:湍溆行奔峭
虽云觉梦殊 不觉无由得<eos><eos><eos> |Ref:同是终难驻
何时洒微雨 不觉不相思<eos><eos><eos> |Ref:因与好风俱
古箓文垂露 高楼花映小<eos><eos><eos> |Ref:新金汞绝烟
五十知天命 三年不可知<eos><eos><eos> |Ref:吾其达此生
烟水吴都郭 风帆白马间<eos><eos><eos> |Ref:阊门架碧流
石堤春草碧 山水不相逢<eos><eos><eos> |Ref:双燕向西飞
懿兹彝器 永庆惟玄<eos><eos><eos><eos> |Ref:厥德惟明
万花明曲水 万里入江山<eos><eos><eos> |Ref:车马动秦川
还看碧溪答 不见白云人<eos><eos><eos> |Ref:不羡绿珠歌
老枝病叶愁杀人 老马相逢不相见<eos> |Ref:曾经大业年中春
如今不在莺啼处 不见春风不见人<eos> |Ref:莺在旧时啼处啼
霸王迷路处 天子在家来<eos><eos><eos> |Ref:亚父所封城
天津御柳碧遥遥 一片春风满洞庭<eos> |Ref:轩骑相从半下朝
天府来相辟 天台入一邻<eos><eos><eos> |Ref:高人去自由
天子既穆穆 天臣降英猷<eos><eos><eos> |Ref:群材亦森森
佳哉藩邸旧 不敢生子规<eos><eos><eos> |Ref:赫矣梵宫新
鳷鹊楼前新月满 玉楼风上路悠悠<eos> |Ref:凤凰台上宝灯燃
但得青天不下雨 不知一日无人事<eos> |Ref:上无苍蝇下无鼠
应图求骏马 不得出龙蛇<eos><eos><eos> |Ref:惊代得麒麟
多少游蜂尽日飞 不知春日不相逢<eos> |Ref:看遍花心求入处
邻荒收酒幔 归去入蓬莱<eos><eos><eos> |Ref:屋古布苔茵
不及兰亭会 何由不可怜<eos><eos><eos> |Ref:空吟祓禊诗
金丹一粒定长生 不得无人不得知<eos> |Ref:须得真铅炼甲庚
求名有所避 不得无人去<eos><eos><eos> |Ref:求利无不营
不知门下趋筵士 不得春风不见人<eos> |Ref:何似当时石解空
涧底松摇千尺雨 山中草带白云秋<eos> |Ref:庭中竹撼一窗秋
万里赴知己 千年无不知<eos><eos><eos> |Ref:一言诚可叹
会须明月夜 不觉不知音<eos><eos><eos> |Ref:与子水边期
峰高日色转 山色水声深<eos><eos><eos> |Ref:潭净天光入
柴门半掩寂无人 不得长歌一夜风<eos> |Ref:惟有白云相伴宿
巽宫尊长女 不得为君归<eos><eos><eos> |Ref:台室属良人
簇声诸树密 轻影小山深<eos><eos><eos> |Ref:悬滴四檐疏
高谈阔论若无人 不得君王不可知<eos> |Ref:可惜明君不遇真
正欢唯恐散 不觉不知哉<eos><eos><eos> |Ref:虽醉未思眠
石麟埋没藏春草 金凤鸣鸣香翠苔<eos> |Ref:铜雀荒凉对暮云
自然成妙用 不得是生涯<eos><eos><eos> |Ref:孰知其指的
贞节既已固 清风无相亲<eos><eos><eos> |Ref:殊荣良不訾
梁间有驯鸽 不敢无清风<eos><eos><eos> |Ref:不去复何依
惊得丧 不可见<eos><eos><eos><eos><eos> |Ref:叹浮沈
骤雨暗谿口 清风入洞庭<eos><eos><eos> |Ref:归云网松萝
清威严令无纤壒 不得春风不可知<eos> |Ref:长路深山不拾遗
岁月不堪相送尽 风风犹是故人期<eos> |Ref:颓颜更被别离凋
出入门阑久 相逢不可知<eos><eos><eos> |Ref:儿童亦有情
故人有湮沦 不得为我归<eos><eos><eos> |Ref:新知无意气
公子醉如泥 不知风断客<eos><eos><eos> |Ref:天街闻马嘶
影堂香火长相续 一片金钗开一朵<eos> |Ref:应得人来礼拜多
长欲挂帆君莫笑 不知何处是人人<eos> |Ref:越禽花晚梦南枝
今朝竹林下 不见春风起<eos><eos><eos> |Ref:莫使桂尊空
身轻委回雪 心后不成风<eos><eos><eos> |Ref:罗薄透凝脂
桂亭依绝巘 石壁入清扉<eos><eos><eos> |Ref:兰榭俯回溪
因秋倍多感 不觉不知贫<eos><eos><eos> |Ref:乡树接咸京
秀色无双怨三峡 清风清水空无极<eos> |Ref:春风几梦襄王猎
雍雍盛典 穆穆降祥<eos><eos><eos><eos> |Ref:肃肃灵祠
盘中何所有 不得无人迹<eos><eos><eos> |Ref:苜蓿长阑干
愁中独坐秦城夜 梦上归歌楚色新<eos> |Ref:别后几经吴苑春
戴天惟庆幸 不得见金金<eos><eos><eos> |Ref:选地即殊尤
君王寂虑无消息 不得清风不可知<eos> |Ref:却就闲人觅巨公
已见南人说 还来一片云<eos><eos><eos> |Ref:天台有旧房
云边踏烧去 水上入人知<eos><eos><eos> |Ref:月下把书看
咄此蓬瀛侣 何由天子闲<eos><eos><eos> |Ref:无乃贵流霞
岩磴列云旗 山风满日光<eos><eos><eos> |Ref:吾君访道时
万里隔三载 一年无一年<eos><eos><eos> |Ref:此邦余重来
失侣度山觅 无人见客心<eos><eos><eos> |Ref:投林舍北啼
理烦善用简 不得为其情<eos><eos><eos> |Ref:济猛能兼宽
军门压黄河 天上千里风<eos><eos><eos> |Ref:兵气冲白日
路创李北海 山来山上秋<eos><eos><eos> |Ref:岩开谢康乐
美人胡为隔秋水 一回一声千里路<eos> |Ref:焉得置之贡玉堂
连袂度危桥 归帆入高阁<eos><eos><eos> |Ref:萦回出林杪
即堪金井贮 不得在长安<eos><eos><eos> |Ref:会映玉壶清
南浮沧海上 不见不相亲<eos><eos><eos> |Ref:万里到吴台
崆峒求道失遗迹 白日归来过归客<eos> |Ref:荆山铸鼎馀荒丘
斜日苇汀凝立处 一声长断一声声<eos> |Ref:远波微飏翠如苔
龙钟兼老病 云色在天台<eos><eos><eos> |Ref:更有重来期
重门不下关 一日无人事<eos><eos><eos> |Ref:枢务有馀闲
诗偈总一般 不得无清月<eos><eos><eos> |Ref:读时须子细
桂影已圆攀折后 花来不觉不堪愁<eos> |Ref:子孙长作栋梁材
裂素观嘉瑞 清风入大康<eos><eos><eos> |Ref:披图贺圣君
若见红儿醉中态 不知何处不知来<eos> |Ref:也应休忆李夫人
孟夏桑叶肥 白云生水生<eos><eos><eos> |Ref:秾阴夹长津
置驿推东道 承恩奉大公<eos><eos><eos> |Ref:安禅合北宗
蹙踏辽河自竭 飞飞汉北连秦<eos><eos> |Ref:鼓噪燕山可飞
逢萌挂冠 以日不阕<eos><eos><eos><eos> |Ref:胡昭投簪
松声三楚远 云雨一年秋<eos><eos><eos> |Ref:乡思百花初
功成献凯见明主 不得天子为君王<eos> |Ref:丹青画像麒麟台
点翰芳春色 清风夜夜凉<eos><eos><eos> |Ref:传杯明月光
十岁此辰同醉友 一年何处是何人<eos> |Ref:登高各处已三年
一面如何重 千年不可知<eos><eos><eos> |Ref:重甚珍宝片
秋江烟景晚苍苍 一片风风不可寻<eos> |Ref:江上离人促去航
行遇竹王因设奠 坐随龙药不成身<eos> |Ref:居逢木客又迁家
迎箧已焚香 开帘思白雪<eos><eos><eos> |Ref:近鞘先泽手
惟当待责免 不敢在相思<eos><eos><eos> |Ref:耕劚归沟塍
犬随童子出 鸟向马蹄归<eos><eos><eos> |Ref:鸟避俗人飞
谁识先生事 何人不可知<eos><eos><eos> |Ref:无身是本心
徒照葵藿心 不知心所思<eos><eos><eos> |Ref:不照游子悲
何当移白足 不得不知君<eos><eos><eos> |Ref:早晚凌苍山
春泥秧稻暖 寒水落花香<eos><eos><eos> |Ref:夜火焙茶香
病添庄舄吟声苦 老向山中春夜开<eos> |Ref:贫欠韩康药债多
开园过水到郊居 一片风光不可寻<eos> |Ref:共引家童拾野蔬
菖蒲翻叶柳交枝 不见春风不可闻<eos> |Ref:暗上莲舟鸟不知
北榭远峰闲即望 东山空望不相逢<eos> |Ref:西湖残景醉常眠
噪轩高树合 飞棹远江长<eos><eos><eos> |Ref:惊枕暮山横
错判符曹群吏笑 焚香殿底金珠春<eos> |Ref:乱书岩石一山憎
谁解叩乾关 不敢为君知<eos><eos><eos> |Ref:音容去不还
汉家伊洛九重城 一年相见不相亲<eos> |Ref:御路浮桥万里平
桃芳李艳年年发 不是春风一片花<eos> |Ref:羌管蛮弦处处多
独留芳翰悲前迹 不觉江风不见人<eos> |Ref:陌上恐伤桃李颜
终忆泉山寺 无人不可寻<eos><eos><eos> |Ref:听猿看海涛
