除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
今朝复明日 一日无长安<eos><eos><eos> |Ref:不觉年齿暮
吾土兼连此 何人得此身<eos><eos><eos> |Ref:离魂望里消
涧底松摇千尺雨 云临石底绿苍苔<eos> |Ref:庭中竹撼一窗秋
云母屏风即施设 云日德德之宣仪<eos> |Ref:可怜荣耀冠当时
共琴为老伴 不得是归时<eos><eos><eos> |Ref:与月有秋期
日暮飞鸟还 山寒无声落<eos><eos><eos> |Ref:行人去不息
鸳侣此时皆赋咏 山家不是是君兄<eos> |Ref:商山雪在思尤清
高馆基曾山 不知此不朽<eos><eos><eos> |Ref:微幂生花草
两股金钗已相许 不能不得长垂杨<eos> |Ref:不令独作空成尘
药香沾笔砚 清气动经章<eos><eos><eos> |Ref:竹色染衣巾
名自石渠书典籍 何曾相见眼青空<eos> |Ref:香从芸阁著衣衫
故人不可见 一日一相逢<eos><eos><eos> |Ref:河水复悠然
势移青道里 一片白云间<eos><eos><eos> |Ref:影泛绿波中
心期怅已阻 况复在樵越<eos><eos><eos> |Ref:交道复何如
何用岩栖隐姓名 世界闲见一宵阳<eos> |Ref:一壶春酎可忘形
相留永不忘 不得在天地<eos><eos><eos> |Ref:经宿话丹梯
宝器金罍重 金阶玉箸空<eos><eos><eos> |Ref:清音玉珮寒
不愤连年别 江山不见知<eos><eos><eos> |Ref:那堪长夜啼
一师凭庙略 不得子安能<eos><eos><eos> |Ref:分阃佐元戎
出师三千 万国斯备<eos><eos><eos><eos> |Ref:各选尔丑
牺樽一何古 不得无相思<eos><eos><eos> |Ref:我抱期幽客
黄金买歌笑 不觉不知时<eos><eos><eos> |Ref:用钱不复数
尽将酤酒饮 酒夜对杯眠<eos><eos><eos> |Ref:酩酊步行归
丞相衔恩赴阙时 一年心岁岁初赊<eos> |Ref:锦城寒菊始离披
白马东北来 不知归不去<eos><eos><eos> |Ref:空鞍贯双箭
取来歌里唱 歌舞舞初开<eos><eos><eos> |Ref:胜向笛中吹
何知戎马间 不知一生意<eos><eos><eos> |Ref:复接尘事屏
江海扁舟客 何人不得来<eos><eos><eos> |Ref:云山一衲僧
共是虚皇简上仙 不知何处是同时<eos> |Ref:清词如羽欲飘然
艺可屠龙胆 天来汉虎牙<eos><eos><eos> |Ref:家曾近燕胎
仲尼七十说 不知何所为<eos><eos><eos> |Ref:历聘莫见收
瘴染面如檗 何由似画凰<eos><eos><eos> |Ref:愁熏头似丝
石上有僧 不得不知<eos><eos><eos><eos> |Ref:结跏横膝
短畦带碧草 山在行乡松<eos><eos><eos> |Ref:怅望思王孙
南浦蒹葭疏雨后 海山云色入楼台<eos> |Ref:寂寥横笛怨江楼
郡人入夜争馀沥 一醉长安不得家<eos> |Ref:竖子寻源独不闻
南中匠人淳用钢 一中遗迹一般事<eos> |Ref:再令盘屈随手伤
粉胸绣臆谁家女 垂丝满眼看竹影<eos> |Ref:香拨星星共春语
时人不到处 不是一相思<eos><eos><eos> |Ref:苔石无尘踪
听猿明月夜 不见白云期<eos><eos><eos> |Ref:看柳故年春
想得家中夜深坐 一时秋月到金头<eos> |Ref:还应说著远行人
乡曲近来佳此味 一曲何人一醉同<eos> |Ref:遮渠不道是吴儿
文鲸掉尾四海通 飞龙明汉文章贤<eos> |Ref:分明瀑布收灵桐
轩车双阙下 一夜一壶归<eos><eos><eos> |Ref:宴会曲江滨
歌以颂德 万国无穷<eos><eos><eos><eos> |Ref:香以达心
红觜休争顾 金炉巧自焚<eos><eos><eos> |Ref:丹心自识机
两国相持兵不解 不知不见一人过<eos> |Ref:会应俱碎似连环
凭君细看红儿貌 争奈新和作蜀人<eos> |Ref:最称严妆待晓钟
勿言不深广 天子无人闲<eos><eos><eos> |Ref:但取幽人适
庭前芳草绿于袍 不得君君作故乡<eos> |Ref:堂上诗人欲二毛
南轩有孤松 不得不可识<eos><eos><eos> |Ref:柯叶自绵幂
昔年顾我长青眼 今日知非此所求<eos> |Ref:今日逢君尽白头
浅水孤舟泊 山川夜更通<eos><eos><eos> |Ref:轻尘一座蒙
雀入官仓中 不得不可得<eos><eos><eos> |Ref:所食能损几
建德知何在 春风不可寻<eos><eos><eos> |Ref:长江问去程
独在山阿里 山水水一时<eos><eos><eos> |Ref:朝朝遂性情
流传千古誉 不得一掷徒<eos><eos><eos> |Ref:研炼十年情
羽书如电入青琐 玉箸一掷随秋泥<eos> |Ref:雪腕如槌催画鞞
寒色满窗明枕簟 暖烟清簟闭疏藤<eos> |Ref:清光凝露拂烟萝
发美童年髻 新成老老夫<eos><eos><eos> |Ref:簪香子月花
执热沉沉在 云空入户虚<eos><eos><eos> |Ref:凌寒往往须
攀条有馀愁 春风不可怜<eos><eos><eos> |Ref:那矜貌如玉
主人既多闲 不得不可得<eos><eos><eos> |Ref:有酒共我倾
千里潺湲建溪路 一人相送到江南<eos> |Ref:梦魂一夕西归去
骄马锦连钱 长安此是时<eos><eos><eos> |Ref:乘骑是谪仙
时因戏祥风 玉勒羽翼飞<eos><eos><eos> |Ref:偶尔来中州
六变有成 其如不知<eos><eos><eos><eos> |Ref:三登无体
沧洲今何在 何人不得归<eos><eos><eos> |Ref:华发旅边城
轻烟浮草色 风雨入湘波<eos><eos><eos> |Ref:微雨濯年华
定应标直笔 金翠耀清辉<eos><eos><eos> |Ref:宁为发空函
渺茫从此去 何处是沧洲<eos><eos><eos> |Ref:空复惜离群
月中邻乐响 不见别离思<eos><eos><eos> |Ref:楼上远山明
七月江水大 山静夜云多<eos><eos><eos> |Ref:沧波涨秋空
记得泥人微敛黛 夜中香后著香衣<eos> |Ref:无言斜倚小书楼
要路愈远 万里无疆<eos><eos><eos><eos> |Ref:幽行为迟
池台草色遍 一夜花如雪<eos><eos><eos> |Ref:宫观柳条新
云西斜去雁 风雨暗沾衣<eos><eos><eos> |Ref:江上未归人
想到千山外 山山万里遥<eos><eos><eos> |Ref:沧江正暮春
流霞包染紫鹦粟 红粉袅袅千里人<eos> |Ref:黄蜡纸裹红瓠房
心如野鹿迹如萍 不得飞蓬上上云<eos> |Ref:谩向人间性一灵
禅客知何在 春风不可寻<eos><eos><eos> |Ref:春山几处同
夜台终不曙 风雨不可过<eos><eos><eos> |Ref:遗芳徒自留
不堪登陇望 不见别离多<eos><eos><eos> |Ref:白日又西斜
山上乱云随手变 山中白雪向山青<eos> |Ref:浙东飞雨过江来
常陈盛礼 礼备粢申<eos><eos><eos><eos> |Ref:愿永千年
孤舟一夜东归客 白日千峰似上山<eos> |Ref:泣向东风忆建溪
忽然高张应繁节 不得相逢一度时<eos> |Ref:玉指回旋若飞雪
岧峣下瞰霅溪流 石壁无因是钓竿<eos> |Ref:极目烟波望梓州
所益谅弘多 山祠不民贫<eos><eos><eos> |Ref:厥交过亲族
鼍鸣积雨窟 不是高空霁<eos><eos><eos> |Ref:鹤步夕阳沙
还期当岁晚 不觉别离来<eos><eos><eos> |Ref:独在路行中
回风吹虎穴 天下出龙车<eos><eos><eos> |Ref:片雨当龙湫
不知飞在灵嘉寺 月下禅家看枕流<eos> |Ref:一国之人皆若狂
漾舟汉江上 不见此人家<eos><eos><eos> |Ref:挂席候风生
塞城收马去 不觉见君来<eos><eos><eos> |Ref:烽火射雕归
今为不孝子 不敢得无言<eos><eos><eos> |Ref:世间多此样
重作东南尉 何人问楚人<eos><eos><eos> |Ref:生涯尚似僧
白雪正如此 何处不相思<eos><eos><eos> |Ref:青云无自疑
老人惆怅逢人诉 不得长怀好解欢<eos> |Ref:开尽黄花麦未金
哽噎梦忽惊 不见此地宿<eos><eos><eos> |Ref:觉来房舍静
外事牵我形 不知不可论<eos><eos><eos> |Ref:外物诱我情
一曲晚烟浮渭水 一花新影满天明<eos> |Ref:半桥斜日照咸阳
不虞一蹶终损伤 杨白杨于人自说<eos> |Ref:人生快意多所辱
为问纲纪掾 何处玉壶觞<eos><eos><eos> |Ref:何必使铅刀
淇水徒自深 不知不可论<eos><eos><eos> |Ref:浮云不堪托
瑶洁短长阶 一行不相识<eos><eos><eos> |Ref:玉丛高下树
晚堕兰麝中 不得黄金盘<eos><eos><eos> |Ref:休怀粉身念
吐节茸犹嫩 花香笋更鲜<eos><eos><eos> |Ref:通条泽稍均
稚子伤恩绝 风波逐曲长<eos><eos><eos> |Ref:盛时若流水
襄王梦行雨 一夜闻天鸣<eos><eos><eos> |Ref:才子谪长沙
鼓棹烟波暖 风流水水流<eos><eos><eos> |Ref:还京雨露新
曹瞒尚不能容物 韩子无羞不出衡<eos> |Ref:黄祖何曾解爱才
有时倒影沈江底 不处闻声咽管弦<eos> |Ref:万状分明光似洗
由来鸳鹭侣 云生白鸟间<eos><eos><eos> |Ref:济济列千官
隔世闻丹经 不得不得有<eos><eos><eos> |Ref:悬泉注明玉
傍宇将支压 金为不得欺<eos><eos><eos> |Ref:撑霄欲抵隵
皇天与后土 不得为相亲<eos><eos><eos> |Ref:所感无不通
更忆瑶台逢此夜 月中松影见无声<eos> |Ref:水晶宫殿挹琼浆
丘门多白首 不是故乡人<eos><eos><eos> |Ref:蜀郡满青襟
云天收夏色 不见有风时<eos><eos><eos> |Ref:木叶动秋声
双毂不回辙 一日不相过<eos><eos><eos> |Ref:子疾已在旁
悠悠辞鼎邑 归恨问天涯<eos><eos><eos> |Ref:去去指金墉
争得大裘长万丈 不知人世作分平<eos> |Ref:与君都盖洛阳城
唯爱图书兼古器 不知云雨满金旗<eos> |Ref:在官犹自未离贫
德合天兮礼神遍 龙将军兮随马怒<eos> |Ref:灵芝生兮庆云见
盘根一种依平地 不见青松坐一生<eos> |Ref:自是梧桐不久长
唯寐方无事 何人得此生<eos><eos><eos> |Ref:那堪梦亦喧
相期只为话篇章 游处相思更自伤<eos> |Ref:踏雪曾来宿此房
愁来自觉歌喉咽 为我愁来断泪痕<eos> |Ref:瘦去谁怜舞掌轻
观寒琪树碧 花是锦花红<eos><eos><eos> |Ref:雪浅石桥通
天意资厚养 道来见相并<eos><eos><eos> |Ref:贤人肯相违
山泽多饥人 不得不得事<eos><eos><eos> |Ref:闾里多坏屋
巧随清影触处行 绣著红鬟不自看<eos> |Ref:妙学春莺百般啭
白社莲塘北 春风雨色平<eos><eos><eos> |Ref:青袍桂水南
舞拂丹霞上 无人在清景<eos><eos><eos> |Ref:歌清白雪中
空惭棠树下 不见不相思<eos><eos><eos> |Ref:不见政成歌
有时带月归扣舷 不见寒笳入仙地<eos> |Ref:身闲自是渔家仙
清吟送客后 山上白衣中<eos><eos><eos> |Ref:微月上城初
庾公恋阙怀乡处 不觉花在王子是<eos> |Ref:目送归帆下远滩
七夕今宵看碧霄 一杯初日似长秋<eos> |Ref:牵牛织女渡河桥
海中有国倾神功 一挥羽翼相见翻<eos> |Ref:烹金化成九乳钟
指名为锢党 不得能为之<eos><eos><eos> |Ref:状迹谁告诉
迈俗多真气 山下有清风<eos><eos><eos> |Ref:传家有素风
到头身事欲何为 不觉心形白日人<eos> |Ref:窗下工夫鬓上知
岁月客中销 不知心所思<eos><eos><eos> |Ref:崎岖力自招
倦书饶娅姹 何处问相随<eos><eos><eos> |Ref:憎药巧迁延
傲然脱冠带 香然列帝并<eos><eos><eos> |Ref:改换人间情
从事不须轻县宰 何人不得是他年<eos> |Ref:满身犹带御炉烟
拂匣调珠柱 金尊不舞珠<eos><eos><eos> |Ref:磨铅勘玉杯
郡因兵役苦 不得梦山疏<eos><eos><eos> |Ref:家为海翻移
万树香飘水麝风 夜中春色下空阑<eos> |Ref:蜡熏花雪尽成红
静宜来禁里 春色入楼帏<eos><eos><eos> |Ref:清是下云端
宋公旧池馆 不见此时心<eos><eos><eos> |Ref:零落守阳阿
功名须及早 不为不得平<eos><eos><eos> |Ref:岁月莫虚掷
还疑造物意 不得无人书<eos><eos><eos> |Ref:固护蓄精祐
凤臆龙鬐未易识 高仙谁知得长短<eos> |Ref:侧身注目长风生
早知名是幻 不敢得心忘<eos><eos><eos> |Ref:不敢绣为衣
莺归燕去长悄然 一人愁妾怨新时<eos> |Ref:春往秋来不记年
寿尽天年命不通 一声天上似吾君<eos> |Ref:钓溪吟月便成翁
萧条空仓暮 何由不可寻<eos><eos><eos> |Ref:相引时来归
深情先结契 不敢上楼前<eos><eos><eos> |Ref:薄宦早趋尘
沆瀣楼头紫凤歌 玉轮高下道真真<eos> |Ref:三株树下青牛饭
飞阁卷帘图画里 白云开阁枕天朝<eos> |Ref:虚无只少对潇湘
日暮松声满阶砌 不知春色似青苔<eos> |Ref:不关风雨鹤归来
游人甘失路 不敢问长安<eos><eos><eos> |Ref:野鹤亦离群
老色日上面 不得不相知<eos><eos><eos> |Ref:欢情日去心
公门暇日少 不见此时得<eos><eos><eos> |Ref:穷巷故人稀
日夕竟无事 何处是春风<eos><eos><eos> |Ref:诗书聊自强
太常犹旧宠 一笑不相逢<eos><eos><eos> |Ref:光禄是新隮
往往虽相见 何人是白毛<eos><eos><eos> |Ref:飘飘愧此身
琴鹤几程随客棹 风鱼谁事是中愁<eos> |Ref:风霜何处宿龙湫
青春犹未嫁 不知不相亲<eos><eos><eos> |Ref:红粉旧来娼
总辔越成皋 风雷此林鹤<eos><eos><eos> |Ref:浮舟背梁苑
郡侯六十六 不知不可论<eos><eos><eos> |Ref:别处不经过
饥乌啼旧垒 一雁入孤楼<eos><eos><eos> |Ref:疲马恋空城
澹艳烟雨姿 不知天地远<eos><eos><eos> |Ref:敷芬阳春陌
武陵桃源 不为不测<eos><eos><eos><eos> |Ref:刘阮天台
见辟乾坤新定位 登乘晓月更长亭<eos> |Ref:看题日月更高悬
可怜桃李树 不见白云期<eos><eos><eos> |Ref:先发信陵门
烟径水涯多好鸟 今时青竹有无由<eos> |Ref:竹床蒲椅但高僧
粤若鲁圣出 不得黄金章<eos><eos><eos> |Ref:正当周德衰
郁郁山中客 何人不得还<eos><eos><eos> |Ref:知名四十年
终断游方念 无因不得归<eos><eos><eos> |Ref:炉香继此焚
笔研不才当付火 石盘倒尽为飞龙<eos> |Ref:方书多诳罢烧金
贫舍款宾无别物 故园无事是他年<eos> |Ref:止于空战大尊罍
老少多暍死 不敢为我施<eos><eos><eos> |Ref:汗逾水浆翻
秋白遥遥空 云霞落照明<eos><eos><eos> |Ref:日满门前路
河曲闾阎隘 山临虎豹时<eos><eos><eos> |Ref:川中烟火繁
萧索更何有 不知心不知<eos><eos><eos> |Ref:秋风两鬓生
使君年纪三十馀 老病人成酒酣酒<eos> |Ref:少年白皙专城居
直似王陵戆 何曾问不知<eos><eos><eos> |Ref:非如宁武愚
五陵北原上 不见白云来<eos><eos><eos> |Ref:万古青濛濛
茫茫水中渚 风吹洞庭水<eos><eos><eos> |Ref:上有一孤墩
银珰谒者引蜺旌 手说诗珠洞户州<eos> |Ref:霞帔仙官到赤城
玉仙瑶瑟夜珊珊 金缕金装拂绣鞋<eos> |Ref:月过楼西桂烛残
独胜事有然 不得不为君<eos><eos><eos> |Ref:旁惊汗流浼
玉树起凉烟 秋声落后风<eos><eos><eos> |Ref:凝情一叶前
自笑镜中人 不知心不见<eos><eos><eos> |Ref:白发如霜草
瘦云低作段 金缕马争缚<eos><eos><eos> |Ref:野浪冻成云
南峰忽暗北峰晴 万里千株满锦花<eos> |Ref:空里仙人语笑声
高甃绝行尘 何人更自归<eos><eos><eos> |Ref:开帘似有春
关中新月对离尊 江上闲飞入故人<eos> |Ref:江上残花待归客
后车喧凤吹 风吹动玉池<eos><eos><eos> |Ref:前旌映彩旒
自看和酿一依方 不见前山不得身<eos> |Ref:缘看松花色较黄
男儿轗轲徒搔首 不得陶陶如我来<eos> |Ref:入市脱衣且沽酒
洞宫四百日 不见一人归<eos><eos><eos> |Ref:玉籍恣探阅
秋暮之彭泽 何人不可求<eos><eos><eos> |Ref:篱花远近逢
欲知来日美 不觉醉中杯<eos><eos><eos> |Ref:双拜紫微天
树宿山禽静 山寒月影深<eos><eos><eos> |Ref:池通野水遥
一到芳菲下 何人不得来<eos><eos><eos> |Ref:空招两鬓秋
象溟看浴景 山色自潜微<eos><eos><eos> |Ref:烧劫辨沉灰
殷勤傍石绕泉行 一径无尘户浅流<eos> |Ref:不说何人知我情
马色分朝景 清声满曙光<eos><eos><eos> |Ref:鸡声逐晓风
嗟余听鼓应官去 不见君王酒上时<eos> |Ref:走马兰台类断蓬
徒赐五百金 不得不可攀<eos><eos><eos> |Ref:弃之若浮烟
冯唐毛发白 不觉道尘昏<eos><eos><eos> |Ref:归兴日萧萧
俱怀逸兴壮思飞 不知春远醉郎船<eos> |Ref:欲上青天览日月
於穆不已 不为我饥<eos><eos><eos><eos> |Ref:裒对斯臻
树色应无江北秋 江人不见水山游<eos> |Ref:天涯尚见淮阳月
暂别青蓝寺 何人不得闲<eos><eos><eos> |Ref:今来发欲斑
澄彻天为底 山中水若耶<eos><eos><eos> |Ref:渊玄月作心
若弃荣名便居此 不知何处到门门<eos> |Ref:自然浮浊不相关
试攀檐果猿先见 飞压楼边云欲飞<eos> |Ref:才把渔竿鹤即来
君家盛德岂徒然 天阁香阶列玉行<eos> |Ref:时人注意在吾贤
野宿霜入帐 月出月中看<eos><eos><eos> |Ref:孤衾寒不暖
犹得吾师继颂声 不知天地事为人<eos> |Ref:百篇相爱寄南荆
南国羽书催部曲 东方归非作长年<eos> |Ref:东山毛褐傲羲皇
三十骅骝一哄尘 一花如翠不堪攀<eos> |Ref:来时不锁杏园春
影别流沙路 山流落日时<eos><eos><eos> |Ref:嘶流上苑风
束书西上谒明主 白首弯君去头头<eos> |Ref:捧檄南归慰老亲
云帆高出树 山色迥连钟<eos><eos><eos> |Ref:水市迥分桥
束发逢世屯 不敢听山<unk><eos><eos><eos> |Ref:怀恩抱明义
关遥秦雁断 江上楚江平<eos><eos><eos> |Ref:家近瘴云低
无子同居草庵下 休将白上泪痕垂<eos> |Ref:有妻偕老道场中
市朝束名利 不是无心穷<eos><eos><eos> |Ref:林泉系清通
扁舟敬亭下 不见柳条年<eos><eos><eos> |Ref:五两先飘扬
寒光照人近不得 金鸡斗女人间上<eos> |Ref:坐愁雷电湫中生
野芳桤似柳 春色细如丝<eos><eos><eos> |Ref:江霁雪和春
早晚是归期 相逢春草长<eos><eos><eos> |Ref:苍穹知不知
英藩信炜烨 金叶下旄锡<eos><eos><eos> |Ref:胜地本从容
朝衣辨色处 一望入城空<eos><eos><eos> |Ref:双绶更宜看
门掩右军馀水石 马行车马出新营<eos> |Ref:路横诸谢旧烟霞
想象精灵欲见难 不知身上不知云<eos> |Ref:通津一去水漫漫
若访禅斋遥可见 不知闲入上仙船<eos> |Ref:竹窗书幌共烟波
皇帝正直 万里无疆<eos><eos><eos><eos> |Ref:别白善否
徒喜逢千载 何人得一巡<eos><eos><eos> |Ref:何阶答二仪
江南人家多橘树 东车马马自春散<eos> |Ref:吴姬舟上织白纻
所亲问淹泊 江上江海行<eos><eos><eos> |Ref:泛爱惜衰朽
寂寞曹司非热地 不知风世不知秋<eos> |Ref:萧条风雪是寒天
自怜漂荡经年客 不见花前一片晖<eos> |Ref:送别千回独未归
夷师本学外 不是一杯中<eos><eos><eos> |Ref:仍善唐文字
白马金鞭大堤上 春风风吹水上行<eos> |Ref:西江日夕多风浪
睟容有裕 礼乐既陈<eos><eos><eos><eos> |Ref:灵享无穷
羡君齿发新 不见旧游才<eos><eos><eos> |Ref:行己能夕惕
新年雨雪少晴时 一度孤阳一夜刀<eos> |Ref:屡失寻梅看柳期
宫楼一曲琵琶声 越中和语玉中听<eos> |Ref:满眼云山是去程
（采蜡 不可得<eos><eos><eos><eos><eos> |Ref:怨奢也
呵云润柱础 雨露动清漪<eos><eos><eos> |Ref:笔彩饮虹霓
初谓落何处 一夜一千秋<eos><eos><eos> |Ref:永将无所依
陆海披珍藏 无花见古时<eos><eos><eos> |Ref:天河直斗城
九派混东流 山河满海城<eos><eos><eos> |Ref:朝宗合天沼
不知辞罢虚皇日 不见东南一片春<eos> |Ref:更向人间住几时
如今年老无筋力 不得无人得醉眠<eos> |Ref:犹倚营门数雁行
须知香饵下 不得玉绳封<eos><eos><eos> |Ref:触口是铦钩
寂默亲遗景 清高见圣人<eos><eos><eos> |Ref:凝神入过思
七圣斯严 不为不<unk><eos><eos><eos><eos> |Ref:三君如在
飒岸浮寒水 山河入古城<eos><eos><eos> |Ref:依阶拥夜虫
济旱露为兆 不能能自持<eos><eos><eos> |Ref:有如埙应篪
翠微回日驭 万里入云林<eos><eos><eos> |Ref:丹巘驻天行
奏章为得地 不是此生涯<eos><eos><eos> |Ref:齰齿负明恩
莹澈通三岛 山阴接五湖<eos><eos><eos> |Ref:岩梧积万层
为报使君多泛菊 不知诗酒有馀香<eos> |Ref:更将弦管醉东篱
垂钓坐盘石 不得无人期<eos><eos><eos> |Ref:水清心亦闲
近发看乌帽 何曾识玉牛<eos><eos><eos> |Ref:催莼煮白鱼
处身孤且直 不知何所为<eos><eos><eos> |Ref:遭时坦而平
白骨又沾新战血 旌旄早得到青松<eos> |Ref:青天犹列旧旄头
平生江海兴 不是此生心<eos><eos><eos> |Ref:遭乱身局促
石明如挂镜 一笑似青颜<eos><eos><eos> |Ref:苔分似列钱
谁怜不龟手 不得不得为<eos><eos><eos> |Ref:他处却封侯
百二关山扶玉座 千年天道火降明<eos> |Ref:五千文字閟瑶缄
入试出试 不得不知<eos><eos><eos><eos> |Ref:千春万春
中宵问真偈 不是来时者<eos><eos><eos> |Ref:有住是吾忧
翠羽帐中人梦觉 红花山下酒书多<eos> |Ref:宝钗斜坠枕函声
殷勤驿西路 春风水上愁<eos><eos><eos> |Ref:北去向长安
为有趋庭恋 何如此是非<eos><eos><eos> |Ref:应忘道路赊
万邦咸庆 神祇配国<eos><eos><eos><eos> |Ref:百谷用成
锋刃奔涛色 山声吹夜猿<eos><eos><eos> |Ref:旌旗焰火文
半夜重城闭 山山暮雾开<eos><eos><eos> |Ref:潺湲枕底来
一朝福报尽 不是苦愁思<eos><eos><eos> |Ref:犹若栖芦鸟
夜来闻清磬 山川见白云<eos><eos><eos> |Ref:月出苍山空
耻涉太行险 山河日阴黑<eos><eos><eos> |Ref:羞营覆车粟
初酝一缸开 红桃落中面<eos><eos><eos> |Ref:新知万里来
俱有乱离终日恨 不知衰病不能生<eos> |Ref:贵将滋味片时同
惆怅空知思后会 不堪相见不知心<eos> |Ref:艰难不敢料前期
冀雪大国耻 不为大勿欺<eos><eos><eos> |Ref:翻是大国辱
青山看景知高下 不觉闲行得去时<eos> |Ref:流水闻声觉浅深
微雨洒不灭 日日惊飞衣<eos><eos><eos> |Ref:轻风吹欲燃
斯文不易遇 不得不可论<eos><eos><eos> |Ref:清爽心岂足
凿井求泉会到源 翠青山梯绕金石<eos> |Ref:闭门避火终迷路
城东城西旧居处 一片水中天河水<eos> |Ref:城里飞花乱如絮
飞轩危槛百花堂 树下南窗月碧圆<eos> |Ref:朝宴歌钟暮已荒
恋恩何敢死 不敢为谁论<eos><eos><eos> |Ref:垂泪对清湘
预愁嫁娶真成患 仙妓相幽太不无<eos> |Ref:细念因缘尽是魔
夜久烛花落 一醉一星催<eos><eos><eos> |Ref:凄声生远林
明日持杯处 何人不见来<eos><eos><eos> |Ref:谁为最后人
故人卢氏子 不得有天涯<eos><eos><eos> |Ref:十载旷佳期
但令黄精熟 山年青琐香<eos><eos><eos> |Ref:不虑韶光迟
此门从自古 不知无我稀<eos><eos><eos> |Ref:难学至如今
尺素忽惊来梓泽 回摇一动碧松丛<eos> |Ref:双金不惜送蓬山
人间几日变桑田 一种桑麻别旧泥<eos> |Ref:谁识神仙洞里天
华盖芝童引 风声玉树繁<eos><eos><eos> |Ref:神丹桂女收
鸡鸣风雨交 不见不可攀<eos><eos><eos> |Ref:久旱云亦好
已齐生死理 何如不得心<eos><eos><eos> |Ref:鵩鸟莫为灾
绿云紫气向函关 见阙高亭一事间<eos> |Ref:访道应寻缑氏山
皇天未启升平运 万寿分皇玉清秋<eos> |Ref:不使伊皋相禹汤
却到京师事事伤 一山白日上归春<eos> |Ref:惠休归寂贾生亡
湘水泠泠彻底清 水垂流落一年空<eos> |Ref:二妃怨处无限情
泪逐金波满 天涯玉镜悬<eos><eos><eos> |Ref:魂随夜鹊惊
呼卢百万终不惜 死生千里出天地<eos> |Ref:报仇千里如咫尺
举首阂青冥 天明紫紫云<eos><eos><eos> |Ref:回眸聊下视
得失鉴齐楚 香香思入蘋<eos><eos><eos> |Ref:仁思念禹汤
中庭有疏芦 不知清池曲<eos><eos><eos> |Ref:淅淅闻风吹
偏将残濑杂 山水远山清<eos><eos><eos><eos> |Ref:乍与远鸿哀
断续巫山雨 风吹白日天<eos><eos><eos><eos> |Ref:天河此夜新
落日吊李广 一日出天涯<eos><eos><eos><eos> |Ref:白首过河阳
晚花新笋堪为伴 白日青山不得归<eos><eos> |Ref:独入林行不要人
宜锡景福 不为不知<eos><eos><eos><eos><eos> |Ref:永休下民
一酌发好容 不得不相识<eos><eos><eos><eos> |Ref:再酌开愁眉
长因内斋出 山云落日斜<eos><eos><eos><eos> |Ref:多客叩禅扃
空有慈悲随物念 不知何事不知心<eos><eos> |Ref:已无踪迹在人群
宿酒何时醒 不知天上天<eos><eos><eos><eos> |Ref:形骸不复存
栀子同心裛露垂 一人不语无人声<eos><eos> |Ref:折来深恐没人知
为见行舟试借问 不知天地一何人<eos><eos> |Ref:客中时有洛阳人
宁知巴峡路 不见故乡人<eos><eos><eos><eos> |Ref:辛苦石尤风
到者皆忘寐 不知心不足<eos><eos><eos><eos> |Ref:神精与俗分
鲐皮识仁惠 不得不相知<eos><eos><eos><eos> |Ref:丱角知靦耻
桂水通百越 不得不相识<eos><eos><eos><eos> |Ref:扁舟期晓发
雾深知有术 不得不相识<eos><eos><eos><eos> |Ref:窗静似无人
水花晚色静 山月夜光清<eos><eos><eos><eos> |Ref:庶足充淹留
恭承凤凰诏 何人不得来<eos><eos><eos><eos> |Ref:欻起云萝中
云南八国万部落 天雄雄雄不可论<eos><eos> |Ref:皆知此路来朝天
陇东卧穟满风雨 不是白头看白发<eos><eos> |Ref:莫信龙媒陇西去
涨海潮生阴火灭 天河不气无处处<eos><eos> |Ref:苍梧风暖瘴云开
画舸轻桡柳色新 一条春色不如人<eos><eos> |Ref:摩诃池上醉青春
南过猿声一逐臣 一来秋日到长安<eos><eos> |Ref:回看秋草泪沾巾
秀迹逢皆胜 何人不可论<eos><eos><eos><eos> |Ref:清芬坐转凉
一别隔炎凉 风吹满池流<eos><eos><eos><eos> |Ref:君衣忘短长
临泛何容与 不得不可寻<eos><eos><eos><eos> |Ref:爱此江水清
何城乱远漏 一夜一何如<eos><eos><eos><eos> |Ref:几处杂疏砧
子美遗魂地 何人不得归<eos><eos><eos><eos> |Ref:藏真旧墨池
夜直入君门 不知不可得<eos><eos><eos><eos> |Ref:晚归卧吾庐
忽忆绣衣人 不知不可得<eos><eos><eos><eos> |Ref:乘船往石头
王孙草还绿 山阴日渐斜<eos><eos><eos><eos> |Ref:何处拟羁游
多君方闭户 山色入高林<eos><eos><eos><eos> |Ref:顾我能倒屟
匈奴破尽人看归 不知人语愁人家<eos><eos> |Ref:金印酬功如斗大
只合一生眠白屋 不知飞下入天台<eos><eos> |Ref:何因三度拥朱轮
沈宋裁辞矜变律 今朝侍拜奉朝朝<eos><eos> |Ref:王杨落笔得良朋
一半走来争跪拜 春花轻上有香衣<eos><eos> |Ref:上棚先谢得头筹
视事奸回尽 江南日未回<eos><eos><eos><eos> |Ref:登楼海岳春
春田休学稼 不得不相亲<eos><eos><eos><eos> |Ref:秋赋出儒宫
如何持此将干谒 不觉人间是此人<eos><eos> |Ref:不及公卿一字书
危巢末累累 不得不相识<eos><eos><eos><eos> |Ref:隐在栲木花
长年愿奉西王母 不得相逢一一杯<eos><eos> |Ref:近侍惭无东朔才
