沙净有波迹 不深无水声 |Ref:岸平多草烟
何地离念剧 落水起思行 |Ref:江皋风雪时
贵贱同一尘 春人同一珍 |Ref:死生同一指
历数有时尽 今来无日来 |Ref:哀平嗟不昌
禅子有情非世情 一人无事不人情 |Ref:御荈贡馀聊赠行
明月夜来梦 清风秋上愁 |Ref:碧山秋到家
少年薄幸知何处 不见青山是一人 |Ref:每夜归来春梦中
夫人病时不肯别 一子愁日不何悲 |Ref:死后留得生前恩
今接宜都里 人为不不中 |Ref:翻疑海作田
已见南人说 还闻北子游 |Ref:天台有旧房
名在相公幕 人来不子人 |Ref:丘山恩未酬
四体苟不勤 不身无所辛 |Ref:安得丰菽粟
放情任所尚 无意难何亲 |Ref:长揖归山泉
十年居上郡 一日在中春 |Ref:四海谁为主
末裔实渔者 末险无不之 |Ref:敢怀干墨卿
六龙迁白日 万象出青云 |Ref:四海暗胡尘
雪树交梁苑 风花入楚城 |Ref:冰河涨孟津
正忆毗陵客 春风一子书 |Ref:声声隔水钟
山人无事秋日长 一客无花一风水 |Ref:白昼懵懵眠匡床
全移河上影 半入海中声 |Ref:暂透林间缺
但食乌残肉 有土龙所飞 |Ref:无施搏击功
风朝津树落 日夜野云生 |Ref:日夕岭猿悲
九姓如今尽臣妾 一年如去人人人 |Ref:归期那肯待秋风
野性方自得 无心不不同 |Ref:人寰何所求
薄宦离山久 孤山别此多 |Ref:高谈与世稀
隔云故国山千叠 别日新山水一里 |Ref:傍水芳林锦万枝
多事时为客 无人不不人 |Ref:无人处上楼
昔人城邑中 今日在江里 |Ref:今变为丘墟
始知物外情 不见不中情 |Ref:簪绂同刍狗
山城犹转漏 江水已飞风 |Ref:沙浦已摇船
牢系鹿儿防猎客 山人人马不何人 |Ref:满添茶鼎候吟僧
初阳到古寺 不日一新村 |Ref:宿鸟起寒林
将去复携手 相来何水头 |Ref:日高方解携
中天有高阁 上日有高台 |Ref:图画何时歇
未称为松主 何为作石人 |Ref:时时一愧怀
倾手奉觞看故老 不腰不得是无人 |Ref:拥流争拜见孩提
万事须己运 一年为不悲 |Ref:他得非我贤
皇心满尘界 此日无相天 |Ref:佛迹现虚空
弦管宁容歇 酒思不自归 |Ref:杯盘未许收
中郎推贵婿 不得为无人 |Ref:定远重时英
六么水调家家唱 五月花花处处声 |Ref:白雪梅花处处吹
商山无平路 此日有清人 |Ref:楚水有惊潈
秋归旧窗竹 春落旧山松 |Ref:永夜一凄寂
空庭好待中宵月 寒月无逢一夜春 |Ref:独礼星辰学步罡
蓟门看火树 一里忆春城 |Ref:疑是烛龙燃
岧峣试一临 寂朗海山开 |Ref:虏骑附城阴
两事皆害性 一心不所力 |Ref:一生恒苦心
重阳独酌杯中酒 远水闲吟梦上诗 |Ref:抱病起登江上台
采尔幕中画 当然歌上论 |Ref:戡难光殊勋
舟楫因人动 山舟为不回 |Ref:形骸用杖扶
天上岁时星右转 山中无处日中来 |Ref:世间离别水东流
不问黄芽肘后方 满人白得是何存 |Ref:妙道通微怎生说
饮酒或垂钓 食衣或解琴 |Ref:狂歌兼咏诗
我挥一杯水 我得一此山 |Ref:自笑何区区
清淮南岸家山树 白岸东山处酒花 |Ref:黑水东边第一栽
馀湿犹沾草 空生未落枝 |Ref:残流尚入溪
天子尚应怜贾谊 一人应尽忆江衡 |Ref:时人未要嘲扬雄
拂曙残莺百啭催 满春晴柳千晴开 |Ref:萦泉带石几花开
怀恩不浅 望梦难深 |Ref:武义双辑
勤役千万里 悠心一一中 |Ref:将临五十年
昂藏多古貌 空得不无心 |Ref:哀怨有新曲
偏袒右肩露双脚 一兵战事如三春 |Ref:叶里松子僧前落
孤城大泽畔 一与空阳边 |Ref:人疏烟火微
水精夏殿开凉户 风色春池入玉殿 |Ref:冰山绕座犹难御
胡琴今日恨 天与不时情 |Ref:急语向檀槽
金柱根应动 丹书影不生 |Ref:风雷舶欲来
强歌强舞竟难胜 夜落花来空易缯 |Ref:花落花开泪满膺
卫后发鬒 <unk>来来疲 |Ref:飞燕体轻
长门尽日无梳洗 不有无人不不休 |Ref:何必珍珠慰寂寥
淮风生竹簟 江月入花衣 |Ref:楚雨移茶灶
远窗浮槛亦成年 长有新觞亦翠鲜 |Ref:几伴杨公白昼筵
坐来黄叶落四五 行去红人生一里 |Ref:北斗已挂西城楼
勿顾林亭晚 不与山日闲 |Ref:方欢云雾披
林泽斯总 山天得人 |Ref:山川是遍
轩窗交紫霭 云阁入青光 |Ref:檐户对苍岑
渐到帘幕间 稍然酒一里 |Ref:裴回意犹惧
元生实奇迈 大子在天纪 |Ref:幸此论畴昔
三年文会许追随 一年不中一不衣 |Ref:和遍南朝杂体诗
千妖万态逞妍姿 一点不为珊天里 |Ref:破国亡家更是谁
年年使我成狂叟 年老不君不不客 |Ref:肠断红笺几首诗
放尔丁宁复故林 一人何自自何间 |Ref:旧来行处好追寻
因言天外事 为是世中人 |Ref:茫惚使人愁
霓裳若有来 何得不无开 |Ref:觏我云峰侧
不道弓箭字 不为不马卮 |Ref:罢官唯醉眠
除却吟诗两闲客 何人不得不人人 |Ref:此中情状更谁知
春去计秋期 春来行夜思 |Ref:长安在梦思
舒阴致养 入道自宜 |Ref:合大资生
自下所骑马 不为不为人 |Ref:右持腰间刀
羽檄南渡河 云门北城备 |Ref:边庭用兵早
回头转眄似雕鹗 莫得人来如画雪 |Ref:有志飞鸣人岂知
不因使君怒 不作胡中生 |Ref:焉得诣尔庐
无人本无我 有我不人君 |Ref:非后亦非前
不怜妾岁晏 空子白山轻 |Ref:十载陇西头
闲嗤入甲奔竞态 袅岸回兮不不身 |Ref:醉唱落调渔樵歌
青苔幽巷遍 白发旧人多 |Ref:新林露气微
桑公富灵术 何我良人归 |Ref:一为保馀生
向空分荦指 出远见天衣 |Ref:冲浪出鲸鬐
畴昔紫芳意 其今不日游 |Ref:已过黄发期
谁道零陵守 相为天上游 |Ref:东过此地游
修刺辕门里 平来出路间 |Ref:多怜尔为亲
独怜一雁飞南海 不见三云不北水 |Ref:却羡双溪解北流
况逢旧亲识 不见白相息 |Ref:无不比鹣蟩
灭除昏疑尽 开成醉欲斜 |Ref:领略入精要
草靸无尘心地闲 何生有人愁不长 |Ref:静随猿鸟过寒暄
出来看玉兔 飞去见金龙 |Ref:又欲过银河
峡口风常急 江头月更迟 |Ref:江流气不平
何处孤灯下 孤人一月中 |Ref:只闻嘹唳禽
思见青门外 心闻白上中 |Ref:曾临素浐东
玳瑁应难比 金瑚不易同 |Ref:斑犀定不加
乡心持岁酒 江事不年人 |Ref:津下赏山梅
命服虽同黄纸上 诗门不是白云中 |Ref:官班不共紫垣前
还乡信有兴 不得不无游 |Ref:去郡能无情
羽书如电入青琐 玉剑似雷入白头 |Ref:雪腕如槌催画鞞
微风吹冻叶 远月照寒花 |Ref:馀雪落寒枝
天涯烈士空垂涕 日上孤人不相发 |Ref:地下强魂必噬脐
新亭结构罢 金殿满山初 |Ref:隐见清湖阴
默坐终清夜 闲吟不白时 |Ref:凝思念碧云
征马汉江头 征人胡水游 |Ref:逢君上蔡游
对酒心不乐 此诗心不寒 |Ref:见君动行舟
书剑功迟白发新 一人心尽不归秦 |Ref:异乡仍送故乡人
不知粹和气 不有无相人 |Ref:有得方大受
雪花翻海鹤 云叶落江人 |Ref:波影倒江枫
遥知异政荆门北 不是同山一路东 |Ref:旧许新诗康乐齐
逢人尽冰雪 不我不风风 |Ref:遇景即神仙
冰丝织络经心久 雪日垂生入里多 |Ref:瑞玉雕磨措手难
日暗天寒 风生云急 |Ref:禾稀豆损
树杪见觚棱 人中闻不意 |Ref:林端逢赭垩
内人稀见水秋千 一得春人无不人 |Ref:争擘珠帘帐殿前
自到成都烧酒熟 不知犹是乞书来 |Ref:不思身更入长安
无限青山行已尽 不将白处更相来 |Ref:回看忽觉远离家
挂衣岚气湿 开枕水声深 |Ref:梦枕浪头舂
先帝昔晏驾 后王今新车 |Ref:兹山朝百灵
门开九江转 日入五山行 |Ref:枕下五湖连
草堂久闭庐山下 一得新开见不生 |Ref:竹院新抛洛水东
定将千里书凭雁 不向一边雁上猿 |Ref:应看三春雪当花
一见湖边杨柳风 一年山里不相风 |Ref:遥忆青青洛阳道
别离已五年 归日不相年 |Ref:尚在行李中
共食田文饭 同来酒子新 |Ref:先之梅福官
今过襄阳日 新人汉子时 |Ref:髭鬓半成丝
堪嗟世事如流水 不是人人不不人 |Ref:空见芦花一钓船
野烟迷极浦 山雨望长山 |Ref:斜日起微风
乐事殊未央 清声满方情 |Ref:年华已云晚
欹冠调玉琴 飘步落金衣 |Ref:弹作松风哀
绿衣宛地红倡倡 朱眉不我不伯堂 |Ref:熏风似舞诸女郎
将军少年出武威 行士夜日入高色 |Ref:入掌银台护紫微
他时躧履声 不日无相情 |Ref:晓日照丹阙
上将鏖兵又欲旋 东军兵猎不相天 |Ref:翠华巡幸已三年
古律皆深妙 新风不远清 |Ref:新吟复造微
幽人渴如何 小子无似<unk> |Ref:酝兰为酒浆
纷纷轻汉暮 寂望望胡军 |Ref:漠漠暗江春
长年愿奉西王母 不得金人东上臣 |Ref:近侍惭无东朔才
东城春欲老 南日夜相新 |Ref:勉强一来寻
帆省当时席 风歌入岁船 |Ref:歌声旧日讴
门庭有水巷无尘 一有无山不有人 |Ref:好称闲官作主人
今来尽是人间梦 何去无山不一人 |Ref:刘阮茫茫何处行
十上耻还家 人年无不处 |Ref:裴回守归路
朝宴方陪厕 春行忽不衣 |Ref:山川又乖违
仰头五夜风中立 不眼双花不上生 |Ref:从未圆时直到圆
寂寞鱼山青草里 不来风处白云中 |Ref:何人更立智琼祠
石泉淙淙若风雨 一中不合如如琴 |Ref:桂花松子常满地
行人莫听宫前水 一月花花上上开 |Ref:流尽年光是此声
台曜临东壁 台光入北山 |Ref:乾光自北辰
负尔五年恩爱泪 一君三日不心衣 |Ref:眼中惟有涸泉知
酣歌金尊醁 歌舞玉楼珑 |Ref:送此清风愁
丈夫四方志 何子何所穷 |Ref:女子安可留
金缕毵毵碧瓦沟 青盘数帐翠罗红 |Ref:六宫眉黛惹春愁
太真玉台 南白金台 |Ref:武子金埒
不知曾化鹤 何得不无人 |Ref:辽海归几度
独有开怀处 春风日月时 |Ref:孙孩戏目前
寺前山远古陂宽 山上江深不不深 |Ref:寺里人稀春草寒
拂雪从山起 乘风入水行 |Ref:过房礼塔回
白屋留孤树 青山到寒人 |Ref:青天矢万艘
百年身世似飘蓬 一日无人不有人 |Ref:泽国移家叠嶂中
殊风限清汉 无日在归尘 |Ref:飞雪滞故乡
夜深雨绝松堂静 一月风声竹水清 |Ref:一点山萤照寂寥
法尊称大洞 世字不真真 |Ref:学浅忝初真
鱼沉荷叶露 鸟落桂花风 |Ref:鸟散竹林风
三叹承汤鼎 今年奉玉尊 |Ref:千欢接舜壶
西郭尘埃外 东山一水中 |Ref:新亭制度奇
便令裁制为时服 不得无名作后名 |Ref:顿觉光荣上病身
韩信经营按镆铘 劝将劝马争如<unk> |Ref:临戎叱咤有谁加
阴山苦雾埋高垒 气水寒云入大微 |Ref:交河孤月照连营
虽言天上光阴别 不是仙中不日来 |Ref:且被人间更漏催
惟向眼前怜易落 不来心后不难开 |Ref:不如抛掷任春风
南陌青丝骑 东山白玉游 |Ref:东邻红粉妆
蜉蝣生湿处 一斗落云中 |Ref:鸱鸮集黄昏
补阙连车载 开门接履迎 |Ref:拾遗平斗量
谬此叙彝伦 明君文不申 |Ref:寰宇贺清谧
法门摧栋宇 灵径翳林书 |Ref:觉海破舟船
一矢弢夏服 百弓为可开 |Ref:我弓不再张
田翁笑相念 年子白相枝 |Ref:昏黑慎原陆
石碑文不直 松石不相通 |Ref:壁画色多枯
掇火身潜起 开风鬓满空 |Ref:焚香口旋吟
君能来作栖霞侣 花向闲花一不人 |Ref:与君同入丹玄乡
寒鸟春深归去尽 夜人日落一花来 |Ref:出门肠断草萋萋
寒泉飞碧螭 晓月飞青凤 |Ref:古木斗苍兕
濆向江底发 不在海中生 |Ref:水在石中沸
借问朝天处 何人一地人 |Ref:犹看落日边
钓竿垂北涧 樵树接南山 |Ref:樵唱入南轩
方承恩宠醉金杯 不得恩人不玉杯 |Ref:岂为干戈骤到来
薰琴调大舜 风酒奉东川 |Ref:宝瑟和神农
何如牵白犊 不似入青鱼 |Ref:饮水对清流
百辟皆醉止 一年无不扬 |Ref:万方今宴如
黄金铺首画钩陈 白石盘声如于史 |Ref:羽葆停幢拂交戟
唯有朝台月 时无夜上春 |Ref:千年照戍楼
张仪旧壁苍苔厚 张节新衣白水香 |Ref:葛亮荒祠古木寒
潘岳愁丝生鬓里 秦风夜影滴衣中 |Ref:婕妤悲色上眉头
吾观主人意 何日不不情 |Ref:不久召京师
同过靖安里 相来不者年 |Ref:下马寻元九
青天诏下宠光至 黄云相上欢章史 |Ref:颁籍金闺征石渠
昔闻智公隐 今日不人名 |Ref:此地常安禅
南国幽沉尽 东山一夜多 |Ref:东堂礼乐宣
三蜀澄清郡政闲 一年无水水天间 |Ref:登楼携酌日跻攀
东君朝二月 不日满三风 |Ref:南旆拥三辰
久作涔阳令 还为天水人 |Ref:丹墀忽再还
几处悬崖上 何时见水中 |Ref:千寻瀑布垂
高明白日恩深海 静宿青云礼远天 |Ref:齿发虽残壮心在
清辉赏不尽 清思在难情 |Ref:高驾何时还
伊余心更苦 何是不相生 |Ref:何日共深论
硩蔟书尚存 此时为虎<unk> |Ref:宁容恣妖幻
世情恶疵贱 有性无无难 |Ref:之子怜孤直
不见枝上花 无人花上月 |Ref:昨满今渐稀
孤亭临绝岸 一路入清流 |Ref:猿鸟识幽蹊
岩光分蜡屐 水色入江琴 |Ref:涧响入铜瓶
直笔在史臣 大书无神伦 |Ref:将来洗箱箧
蔡女菱歌移锦缆 不人吹舞绕金城 |Ref:燕姬春望上琼钩
独将湖上月 遥与海中春 |Ref:相逐去还归
偶助笑歌嘲阿软 旋看风酒一不尊 |Ref:可知传诵到通州
养病未能辞薄俸 退贫犹不忆贫家 |Ref:忘名何必入深山
寝食起居外 青衣开行中 |Ref:端然无所为
上清仙路有丹梯 不是仙山有不行 |Ref:影响行人到即迷
照泥星出依前黑 万水云飞满中红 |Ref:淹烂庭花不肯休
骑省通中掖 旌章出上宫 |Ref:龙楼隔上台
夜舟达湖口 秋里生山中 |Ref:渐近庐山侧
药转红金鼎 花开白玉钱 |Ref:茶开紫阁封
请君听其词 为我不不时 |Ref:能不为酸凄
弱柳从风疑举袂 寒花裛雨似沾巾 |Ref:丛兰裛露似沾巾
凌空殿阁由天设 不日宫门是地开 |Ref:遍地杉松是自生
能全季布诺 不是长神言 |Ref:不道鲁连功
谢庄初起恰花晴 不是新来三月里 |Ref:强侍红筵不避觥
月明看岭树 风暗见江城 |Ref:风静听溪流
候月期戡翦 阴风遂玉心 |Ref:经时念别离
却是陈王词赋错 为君不子是相间 |Ref:枉将心事托微波
落我病枕上 孤君夜门中 |Ref:慰此浮恨侵
天女来相试 人人去不空 |Ref:将花欲染衣
北倚苍龙阙 西临白虎门 |Ref:西临紫凤垣
雷陈美交契 不以文羽游 |Ref:雨雪音尘继
乱云遮却台东月 寒月翻来来上春 |Ref:不许教依次第看
洛阳推贾谊 汉国让张雄 |Ref:江夏贵黄琼
怨调慢声如欲语 不风白色似双眉 |Ref:一曲未终日移午
御府有不足 不人无不足 |Ref:仍令就之传
火寄冥宫 云一明主 |Ref:水济丹台
禽鱼各有化 何我自无驯 |Ref:予欲问齐谐
二毛梳上雪 双里落中花 |Ref:双泪枕前冰
百花休放艳 千叶欲相心 |Ref:三月始为春
沧浪水深青溟阔 白云山远白云死 |Ref:欹岸侧岛秋毫末
鼓吹迎飞盖 衣香入征旗 |Ref:弦歌送羽卮
阵开都护道 军出不人营 |Ref:剑聚伏波营
孤店夜烧枯叶坐 孤山秋照寒花行 |Ref:乱时秋踏早霜行
客愁当暗满 不喜不明归 |Ref:春色向明归
共道官犹小 还来道未长 |Ref:怜君孝养亲
应同故园夜 不是故山时 |Ref:独起异乡愁
时说秋归梦 春山夜远心 |Ref:峰头雪满床
二妃方访舜 三里正为尧 |Ref:万里南方悬
日夕逢归客 春来不故人 |Ref:那能忘旧游
渔阳烽火照函关 一上南云城帝山 |Ref:玉辇匆匆下此山
绛霞封药灶 丹月引书床 |Ref:碧窦溅斋坛
论道致巍巍 临山自翩历 |Ref:持衡无事事
霁色满川明水驿 远声连树碧云楼 |Ref:蝉声落日隐城楼
近发看乌帽 闲人见白衣 |Ref:催莼煮白鱼
门前旧客期相荐 门上新人不未名 |Ref:犹望飞书及主文
寒销直城路 夜落旧阳看 |Ref:春到曲江池
去我四千里 今君一一年 |Ref:使我告诉谁
朔雁和云度 东云带水来 |Ref:川风吹雨晴
耿耿相看不寐 萧吟月满无香 |Ref:遥闻晓柝山城
唯有贫兼病 无年不不归 |Ref:能令亲爱疏
音徽一寂寥 风里千朝风 |Ref:贵贱双沉浮
方士去在昔 不之无归今 |Ref:药堂留至今
几时陪羽猎 何处问山舟 |Ref:应指钓璜溪
戍鼓和潮暗 城风带月寒 |Ref:船灯照岛幽
懒照新磨镜 闲生旧布钩 |Ref:休看小字书
过半黑头死 不一白上生 |Ref:阴虫食枯骴
仙人垂两足 玉马落中枝 |Ref:桂树作团团
啄食饮泉勇气满 走衣飞石不心人 |Ref:争雄斗死绣颈断
缅惟汉宣帝 不得如周宗 |Ref:初谓皇曾孙
俄而散漫 <unk>而幽冥 |Ref:斐然虚无
尽道生云洞 无人生石时 |Ref:谁知路嶮巇
渌酒白螺杯 听歌青月媒 |Ref:随流去复回
老翁难早出 闲子不迟飞 |Ref:贤客幸知归
破尽裁缝衣 今来剪更诗 |Ref:忘收遗翰墨
乔木生夏凉 新花落秋色 |Ref:流云吐华月
如闻生离哭 何为是相悲 |Ref:其声痛人心
却归春洞口 不见夜山人 |Ref:斩象祭天吴
暧然青轩暮 不与白云宅 |Ref:浩思非所任
绿竹半含箨 红花半带香 |Ref:新梢才出墙
得召丘墙泪却频 此君何是是如春 |Ref:若无公道也无因
宿羽皆翦弃 行人尽<unk>如 |Ref:血声沉沙泥
爱君新买街西宅 看向春开到上人 |Ref:客到如游鄠杜间
已恨岁华添皎镜 又怜风色入离颜 |Ref:更悲人事逐颓波
此心不向常人说 不是何从不不人 |Ref:倚识平津万户侯
虞经夏典 雅入尧川 |Ref:兹礼未遑
歌诗盛赋文星动 舞酒清章道人起 |Ref:箫管新亭晦日游
山花照坞复烧溪 石水一窗不满山 |Ref:树树枝枝尽可迷
新声还共听 旧色亦相闻 |Ref:故态复相咍
又恐无人肯青眼 何时不得不青头 |Ref:事须凭仗小还丹
各各人宁宇 还时道不通 |Ref:双双燕贺巢
不将千里隔 何与一年归 |Ref:何用一丸泥
方应五日至 不是一年来 |Ref:应自九天来
箭飞乌兔竞东西 马破金弓飞中水 |Ref:贵贱贤愚不梦齐
响迥凭高阁 光高入汉城 |Ref:曲怨绕秋城
江花纵可怜 山日不如年 |Ref:奈非心所慕
王程倘未复 何事无相空 |Ref:莫遣鲤书稀
渐向浮生老 还知去后身 |Ref:前期竟若何
答云七县十万户 为我三年不一人 |Ref:无人知有霓裳舞
红霞紫气昼氲氲 白水青云风上花 |Ref:绛节青幢迎少君
厨冷难留乌止屋 一生生在鹤经床 |Ref:门闲可与雀张罗
使者分王命 何人不帝关 |Ref:群公各典司
碣馆英灵在 王台水水开 |Ref:瑶山美谥尊
举鞭挥柳色 罗旗落花声 |Ref:随手失蝉声
香助炉烟远 香和枕月深 |Ref:形疑盖影重
南国好偷夸粉黛 北家犹把著金钿 |Ref:汉宫宜摘赠神仙
凡吊先生者 君人不不人 |Ref:多伤荆棘间
赋彻而藏 志诚而息 |Ref:厚我糗粻
暮山逢鸟入 秋水见僧飞 |Ref:寒水见鱼沈
使者下车忧疾苦 东人高路归悲风 |Ref:豪吏销声出公府
潜身备行列 薄事无足论 |Ref:一胜何足论
高卧成长策 高行不不名 |Ref:微官称下才
残红零落无人赏 远绿微来有相起 |Ref:雨打风摧花不全
松径上登攀 一门中下客 |Ref:深行烟霭间
南国别经年 东人不不年 |Ref:云晴波接天
拂曙祥光满 飘明瑞气鲜 |Ref:分晴瑞色鲜
岁月青松老 春风白树新 |Ref:风霜苦竹疏
稍觉秋山远 还知秋水深 |Ref:俄惊冬霰深
幸有烟波兴 何君不此游 |Ref:宁辞笔砚劳
岂不见他邻舍娘 不君不我不不中 |Ref:嫁来常在舅姑傍
决狱多馀暇 登林静无来 |Ref:冥搜万象空
洞门黑无底 不有青不里 |Ref:日夜唯雷风
孟月摄提贞 吾人不自新 |Ref:乘时我后征
云鬓自黏飘处粉 水心不断落中风 |Ref:玉鞭谁指出墙枝
巨壑隍北壖 高崖洞南川 |Ref:长江堑西隩
我欲一挥手 君人不所心 |Ref:谁人可相从
不动须弥山 一来不不时 |Ref:多方辩无匮
苦志慕黄庭 长心不白长 |Ref:殷勤求道迹
多应独住山林惯 不得闲来石杖人 |Ref:唯照寒泉自剃头
尔后一千岁 我来三万年 |Ref:此地化为泉
撑拨诗人兴 行歌酒不诗 |Ref:勾牵酒客欢
自怜漂荡经年客 不是相花一日人 |Ref:送别千回独未归
试问疲人与征战 一人谁是不无情 |Ref:使君双泪定沾衣
一等翘诚依此处 三知不是似人人 |Ref:自然灵贶作梯媒
回首语秋光 长人不相情 |Ref:东来应不错
多君方闭户 少我不无人 |Ref:顾我能倒屟
歌谣数百种 舞与无千年 |Ref:子夜最可怜
云鬟方自照 风袖不相盈 |Ref:玉腕更呈鲜
贵重荣华轻寿命 荣将宠事一髭身 |Ref:知君闷见世间人
晨装林月在 暮坐野云生 |Ref:野饭浦沙寒
饱尔蛆残腹 一我不远蹄 |Ref:安知天地情
一宿同高会 三年共远情 |Ref:几人归下若
至今王化美 天此不无明 |Ref:非独在隆周
寒食家家尽禁烟 东衣犹处一人春 |Ref:野棠风坠小花钿
野性便荒饮 不心不远衣 |Ref:时风忌酒徒
汗光珠点点 风彩玉衣枝 |Ref:发乱绿松松
玉堂金马隔青云 不日青人如白云 |Ref:墨客儒生皆白首
莫欺泥土脚 须得金山头 |Ref:曾蹋玉阶来
下客低头来又去 一人高上不人来 |Ref:暗堆冰炭在深衷
唯思曲肱枕 独望一山心 |Ref:搔首掷华缨
蒙恬芳轨设 独觉礼章熏 |Ref:游楚妙弹开
巨灵咆哮擘两山 龙雏不得不三侯 |Ref:洪波喷箭射东海
带赊衣改制 日入衣成衣 |Ref:尘涩剑成痕
至理无言了 天心有自然 |Ref:浮生一梦劳
兴酣歌舞出 醉手舞歌回 |Ref:朝野叹光辉
道情亲法侣 心事在心人 |Ref:时望登朝右
帝阍不敢干 不子不不<unk> |Ref:恓恓坐长画
怡怡静退姿 出怒空生思 |Ref:泠泠思归吟
徘徊北楼上 远怅南相中 |Ref:海江穷一顾
楼角临风迥 楼风入日遥 |Ref:城阴带水昏
若比众芳应有在 不如清物是无生 |Ref:难同上品是中春
长弓挽满月 古马横何年 |Ref:剑华霜雪明
旧垄转芜绝 新山复不稀 |Ref:新坟日罗列
功夫两衙尽 名子一花来 |Ref:留滞七年馀
江东风光不借人 天里此人不相人 |Ref:枉杀落花空自春
到头忍耻求名是 归事无知不事人 |Ref:须向青云觅路岐
别心倾祖席 归事入无期 |Ref:愁望尽征轮
何必在波涛 无人无如水 |Ref:然后惊沉浮
数急芙蓉带 千声玳翠衣 |Ref:频抽翡翠簪
鹏腾鳌倒且快性 鹤用龙生不易心 |Ref:地坼天开总是闲
眼前何事不伤神 头上人人不满人 |Ref:忍向江头更弄春
清镜无双影 清云有一声 |Ref:穷泉有几重
香气入岫门 气光入涧水 |Ref:瑞云出岩石
学易思求我 行难不得君 |Ref:言诗或起予
悟者子投母 不人生自人 |Ref:迷应地是天
履艮包群望 山中上上流 |Ref:居中冠百灵
八月繁云连九月 九风落月入三里 |Ref:两回三五晦漫漫
奈何明明理 不为不所生 |Ref:与善徒空诠
鸟啼花落人声绝 花舞花开天影微 |Ref:寂寞山窗掩白云
草头一点疾如飞 何人不心不不去 |Ref:却使苍鹰翻向后
细草铺茵绿满堤 小花红户红金泥 |Ref:燕飞晴日正迟迟
欲待主人林上月 一君归上一中人 |Ref:还思潘岳县中花
自愧无此容 不知不所行 |Ref:归从汉阴老
冬暖拾松枝 春寒不竹稀 |Ref:日烟坐蒙灭
灵台万顷浚 汉盖九连东 |Ref:学府九流深
最称弘偃少 偏是浪下多 |Ref:早岁草茅居
衣冠陷锋镝 衣袖随飞鱼 |Ref:戎虏盈朝市
日夕怀空意 风来望不情 |Ref:人谁感至精
陇月尽牵乡思动 山风犹向客情回 |Ref:战衣谁寄泪痕深
何限归心倚前閤 不知归路归高人 |Ref:绿蒲红蓼练塘秋
官何不自量 风水不何名 |Ref:满溢以取斯
思量在世头堪白 不有平山也不知 |Ref:画度归山计未成
钱满荒阶绿 年生古路黄 |Ref:尘浮虚帐红
长安少年唯好武 不有不日不为人 |Ref:金殿承恩争破虏
欲起摇荷盖 清歌入桂衣 |Ref:闲飞溅水珠
斜飘看棋簟 闲思见酒巾 |Ref:疏洒望山亭
此时有行客 不日有相人 |Ref:别我孤舟归
诉词千万恨 为酒万重春 |Ref:无乃不得闻
以之驱鲁山 以之不如间 |Ref:疏迹去莫乘
暮雨凋残寺 秋风落夕稀 |Ref:秋风怅望人
酒阑却忆十年事 一向千年一里人 |Ref:肠断骊山清路尘
重作东南尉 长为北北新 |Ref:生涯尚似僧
南金虽自贵 西玉不相新 |Ref:贺赏讵能迁
所怆别李君 相思离不发 |Ref:平生同道术
金石皆销铄 孤山无久质 |Ref:贤愚共网罗
地入黄图三辅壮 天连白马五年明 |Ref:天垂华盖七星高
敲枷打锁声 一人火风寒 |Ref:终日在目旁
恭承凤凰诏 欻得凤凰声 |Ref:欻起云萝中
屦下苍苔雪 琴中白露香 |Ref:龛前瀑布风
恩属重阳节 风华万玉开 |Ref:雨应此时晴
佳期碧天末 春日白云中 |Ref:惆怅紫兰芳
瑶台有黄鹤 金里无白人 |Ref:为报青楼人
寒鬓斜钗玉燕光 夜花初著金花声 |Ref:高楼唱月敲悬珰
蓬莱时入梦 云柳不无心 |Ref:知子忆贫交
征古绝遗老 归人何在深 |Ref:因名五松山
何人赏秋景 何此清清风 |Ref:兴与此时同
小人无事艺 不得有能诗 |Ref:假尔作梯媒
把君诗过日 一我酒无时 |Ref:念此别惊神
膏雨带荥水 人风无老人 |Ref:归人耕圃田
关西又落木 风上不归云 |Ref:心事复如何
恶草虽当路 何人不在山 |Ref:寒松实挺生
为君再拜赠君语 为我相人为花风 |Ref:愿君静听君勿喧
香饭舂菰米 香蔬带葵葵 |Ref:珍蔬折五茄
白帝城边又相遇 青云水上长相来 |Ref:敛翼三年不飞去
君恩催早入 妾事向初来 |Ref:已梦傅岩边
骏马牵来御柳中 白人不处碧云宫 |Ref:鸣鞭欲向渭桥东
白简曾连拜 青金或在分 |Ref:沧洲每共思
并香幽蕙死 不有清云生 |Ref:比艳美人憎
一言却秦围 万里不相衣 |Ref:片札降聊城
畏途方万里 何道不无尘 |Ref:生涯近百年
繁华自古皆相似 不得何人不不同 |Ref:金谷荒园土一堆
移取扶桑阶下种 不将长子主中耕 |Ref:年年看长碍金乌
生人更多苦 何是不无生 |Ref:入户事盈身
忽忆绣衣人 红人不上客 |Ref:乘船往石头
否极尝闻泰 无时见象<unk> |Ref:嗟君独不然
听残池上雨 吟落水中风 |Ref:吟尽枕前灯
君王不重客 何日有相人 |Ref:泣泪向春风
山川已久隔 山路复相归 |Ref:云雨两无期
乡园节岁应堪重 一有春年不不长 |Ref:亲故欢游莫厌频
同心再解不心离 一得长山不上中 |Ref:离字频看字愁灭
汗马牧秋月 白人鸣夜风 |Ref:疲卒卧霜风
